FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
4,4,4e0,4,2,4,2,4,3.843624,4,3.84362411,4,2.000000,3.843624111
5,5,5e0,5,2,5,2,5,2.590290,5,2.59029039,5,2.000000,2.590290394
6,6,6e0,6,2,6,2,6,3.210402,6,3.21040200,6,2.000000,3.210401996
7,7,7e0,7,0,7,0,7,0.000000,7,0.00000000,7,0.000000,0.000000000
8,8,8e0,8,2,8,2,8,2.162039,8,2.16203856,8,2.000000,2.162038563
9,9,9e0,9,4,9,4,9,4.827796,9,4.82779584,9,4.000000,4.827795843
10,19,1e1,19,0,12,4,19,0.000000,15,4.19059194,14,2.200000,2.225232544
20,29,2e1,29,2,21,6,28,1.586227,21,5.56147012,24,3.200000,2.767779907
30,39,3e1,37,2,30,8,37,1.448748,30,6.16967660,34,4.200000,3.110719183
40,49,4e1,43,0,45,10,43,0.000000,45,6.58667241,44,4.200000,2.746579360
50,59,5e1,59,2,57,10,59,1.146642,57,5.83795127,54,5.800000,3.444943048
60,69,6e1,64,2,60,12,64,1.081019,60,6.70546296,64,6.000000,3.262667530
70,79,7e1,79,2,75,14,79,0.979081,75,7.05323920,74,7.800000,3.922844647
80,89,8e1,89,4,81,10,89,1.831623,81,4.82779584,84,7.000000,3.287354855
90,99,9e1,97,2,90,12,97,0.871999,90,5.39954322,94,7.800000,3.436758342
100,199,1e2,199,4,195,26,199,1.132084,105,8.33051805,141,10.640000,3.583407678
200,299,2e2,223,4,210,30,223,1.053604,210,8.16901684,245,14.720000,3.602339461
300,399,3e2,379,8,315,40,379,1.492247,315,8.43110623,346,19.060000,3.754888850
400,499,4e2,433,8,495,50,433,1.364958,420,7.99188162,447,22.980000,3.819910372
500,599,5e2,569,14,570,56,569,1.983900,570,7.91213209,547,26.100000,3.788292731
600,699,6e2,661,14,660,62,661,1.788981,660,7.91893649,648,29.780000,3.849521727
700,799,7e2,706,14,735,72,706,1.706515,735,8.54549570,748,33.700000,3.944286458
800,899,8e2,802,16,840,76,802,1.784236,840,8.20414590,848,36.580000,3.919971186
900,999,9e2,967,18,975,78,967,1.761041,975,7.58665247,948,38.260000,3.790608339
1000,1999,1e3,1009,20,1995,148,1402,1.647631,1155,9.13559580,1414,54.936000,3.930334115
2000,2999,2e3,2029,30,2730,208,2029,1.715762,2730,9.53914578,2449,80.364000,3.938191714
3000,3999,3e3,3076,44,3990,250,3076,1.845344,3465,9.20509845,3464,103.686000,3.947788842
4000,4999,4e3,4051,60,4830,310,4801,1.856187,4620,9.43200294,4472,126.344000,3.975565492
5000,5999,5e3,5416,72,5775,358,5416,1.965120,5775,9.30254452,5477,146.604000,3.956637527
6000,6999,6e3,6353,88,6930,424,6353,2.124621,6930,9.57022794,6480,169.544000,4.021600106
7000,7999,7e3,7219,94,7770,442,7219,2.055910,7770,9.12968576,7483,187.038000,3.972488543
8000,8999,8e3,8116,112,8925,520,8777,2.179478,8925,9.64346441,8485,206.446000,3.976808668
9000,9999,9e3,9649,124,9975,544,9649,2.163663,9240,9.63749652,9486,225.948000,3.991146103
10000,19999,1e4,10462,134,19635,990,11272,2.131467,15015,10.42234789,14142,323.909800,4.004160101
