FIRST,LAST,START,minAt,G(minAt),maxAt,G(maxAt),n_0,C_min(n_0),n_1,C_max(n_1),n_geom,<COUNT>,C_avg
4,4,4,4,2,4,2,4,3.843624,4,3.84362411,4,2.000000,3.843624111
5,5,5,5,2,5,2,5,2.590290,5,2.59029039,5,2.000000,2.590290394
6,6,6,6,2,6,2,6,3.210402,6,3.21040200,6,2.000000,3.210401996
7,7,7,7,0,7,0,7,0.000000,7,0.00000000,7,0.000000,0.000000000
8,8,8,8,2,8,2,8,2.162039,8,2.16203856,8,2.000000,2.162038563
9,9,9,9,4,9,4,9,4.827796,9,4.82779584,9,4.000000,4.827795843
10,10,10,10,2,10,2,10,2.120759,10,2.12075924,10,2.000000,2.120759244
11,11,11,11,0,11,0,11,0.000000,11,0.00000000,11,0.000000,0.000000000
12,12,12,12,4,12,4,12,4.116507,12,4.11650737,12,4.000000,4.116507372
13,13,13,13,2,13,2,13,2.192988,13,2.19298840,13,2.000000,2.192988402
14,14,14,14,2,14,2,14,1.989892,14,1.98989245,14,2.000000,1.989892454
15,29,(5#)/2,19,0,21,6,19,0.000000,21,5.56147012,21,2.933333,2.633998469
30,44,(5#),43,0,30,8,43,0.000000,30,6.16967660,36,4.000000,2.876781504
45,59,(5#)3/2,59,2,45,10,59,1.146642,45,6.58667241,52,5.466667,3.324712891
60,74,(5#)2,64,2,60,12,64,1.081019,60,6.70546296,67,6.533333,3.469062524
75,89,(5#)5/2,79,2,75,14,79,0.979081,75,7.05323920,82,7.333333,3.512848830
90,104,(5#)3,97,2,90,12,97,0.871999,90,5.39954322,97,7.466667,3.245242470
105,119,(7#)/2,113,4,105,20,113,1.596300,105,8.33051805,112,8.933333,3.577187866
120,134,(5#)4,128,6,120,18,128,2.207081,120,6.87602316,127,10.133333,3.760341543
135,149,(5#)9/2,146,4,135,18,146,1.360895,135,6.46434286,142,9.866667,3.435239530
150,164,(5#)5,157,4,150,16,157,1.311058,150,5.35604609,157,10.400000,3.400775835
165,179,(5#)11/2,178,6,165,24,178,1.810172,165,7.63044269,172,11.600000,3.595328737
180,194,(5#)6,181,6,189,24,181,1.801625,189,7.01512641,187,13.200000,3.875746134
195,209,(5#)13/2,199,4,195,26,199,1.132084,195,7.45275910,202,12.666667,3.549983744
210,224,(7#),223,4,210,30,223,1.053604,210,8.16901684,217,13.600000,3.643743815
225,239,(5#)15/2,236,6,225,24,236,1.517972,225,6.28588791,232,13.200000,3.386986389
240,254,(5#)8,241,6,252,28,241,1.504150,252,6.79435245,247,14.800000,3.644142910
255,269,(5#)17/2,262,10,255,30,262,2.366905,255,7.25329173,262,15.333333,3.641143212
270,284,(5#)9,283,8,270,30,283,1.808288,270,6.96496187,277,15.733333,3.604857351
285,299,(5#)19/2,292,10,294,28,292,2.207228,294,6.15296742,292,17.333333,3.835433618
300,314,(5#)10,313,8,300,32,313,1.693274,300,6.94040203,307,18.000000,3.852220952
315,329,(7#)3/2,316,10,315,40,316,2.096745,315,8.43110623,322,18.533333,3.848926910
330,344,(5#)11,337,8,330,38,337,1.613017,330,7.74497014,337,18.933333,3.814750776
345,359,(5#)23/2,349,10,345,40,349,1.970222,345,7.94116543,352,19.466667,3.812565324
360,374,(5#)12,362,10,360,32,362,1.917761,360,6.15932812,367,18.933333,3.603982271
375,389,(5#)25/2,379,8,375,32,379,1.492247,375,6.01128592,382,19.466667,3.609332043
390,404,(5#)13,391,10,390,36,391,1.826947,390,6.57136743,397,19.333333,3.493629656
405,419,(5#)27/2,412,12,405,34,412,2.111809,405,6.06725959,412,21.333333,3.760777220
420,434,(7#)2,433,8,420,46,433,1.364958,420,7.99188162,427,22.133333,3.810424367
435,449,(5#)29/2,439,14,435,44,439,2.366648,435,7.48402071,442,24.400000,4.104867342
450,464,(5#)15,463,12,462,46,463,1.956971,462,7.49643810,457,24.266667,3.989477522
465,479,(5#)31/2,466,12,465,46,466,1.944258,465,7.47988224,472,23.733333,3.818291722
480,494,(5#)16,481,12,483,42,481,1.907067,483,6.65597280,487,22.933333,3.612001363
495,509,(5#)33/2,496,12,495,50,496,1.863948,495,7.79282126,502,25.066667,3.868766908
510,524,(5#)17,524,16,510,46,524,2.394277,510,7.01146018,517,25.866667,3.912216892
525,539,(7#)5/2,526,14,525,52,526,2.089567,525,7.78613819,532,25.733333,3.817656994
540,554,(5#)18,548,14,540,48,548,2.031998,540,7.03712751,547,26.400000,3.840467645
555,569,(5#)37/2,569,14,555,48,569,1.983900,555,6.91916673,562,25.333333,3.620022540
570,584,(5#)19,577,16,570,56,577,2.245675,570,7.91213209,577,26.400000,3.703510300
585,599,(5#)39/2,599,16,585,54,599,2.188595,585,7.50774530,592,28.000000,3.860057601
600,614,(5#)20,601,14,609,52,601,1.910627,609,7.03221547,607,28.266667,3.829507820
615,629,(5#)41/2,617,14,615,54,617,1.876316,615,7.25345459,622,28.666667,3.819726676
630,644,(7#)3,631,16,630,60,631,2.111378,630,7.91377219,637,28.933333,3.791617010
645,659,(5#)43/2,649,18,645,48,649,2.329513,645,6.23868815,652,29.333333,3.782369936
660,674,(5#)22,661,14,660,62,661,1.788981,660,7.91893649,667,30.533333,3.875933936
675,689,(5#)45/2,677,16,675,58,677,2.010889,675,7.30446862,682,30.800000,3.849406531
690,704,(5#)23,697,18,693,58,697,2.216917,693,7.17206434,697,32.000000,3.939479803
705,719,(5#)47/2,706,14,714,60,706,1.706515,714,7.25655511,712,32.666667,3.962780321
720,734,(5#)24,734,18,720,56,734,2.135493,720,6.73346279,727,32.133333,3.841887122
735,749,(7#)7/2,743,20,735,72,743,2.355865,735,8.54549570,742,35.600000,4.196812727
750,764,(5#)25,751,20,750,62,751,2.338294,750,7.24579438,757,34.000000,3.951470508
