DECADE,MIN AT,MIN,MAX AT,MAX,n_0,C_min,n_1,C_max,n_geom,<COUNT>,C_avg
0,4,2,4,2,4,1.921812,4,1.921812,4,2.000000,1.921812
0,5,2,5,2,5,2.590290,5,2.590290,5,2.000000,2.590290
0,6,2,6,2,6,2.140268,6,2.140268,6,2.000000,2.140268
0,7,0,7,0,7,0.000000,7,0.000000,7,0.000000,0.000000
0,8,2,8,2,8,2.162039,8,2.162039,8,2.000000,2.162039
0,9,4,9,4,9,4.827796,9,4.827796,9,4.000000,4.827796
1,11,0,12,4,11,0.000000,15,4.190592,15,2.200000,2.225233
1,22,2,21,6,28,1.586227,21,5.561470,25,3.200000,2.767780
1,31,2,30,8,37,1.448748,30,6.169677,35,4.200000,3.110719
1,43,0,45,10,43,0.000000,45,6.586672,45,4.200000,2.746579
1,53,2,57,10,59,1.146642,57,5.837951,55,5.800000,3.444943
1,61,2,60,12,64,1.081019,60,6.705463,65,6.000000,3.262668
1,79,2,75,14,79,0.979081,75,7.053239,75,7.800000,3.922845
1,82,4,81,10,89,1.831623,81,4.827796,85,7.000000,3.287355
1,97,2,90,12,97,0.871999,90,5.399543,95,7.800000,3.436758
2,107,4,195,26,199,1.132084,105,8.330518,141,10.640000,3.583408
2,223,4,210,30,223,1.053604,210,8.169017,245,14.720000,3.602339
2,302,8,315,40,379,1.492247,315,8.431106,347,19.060000,3.754889
2,433,8,495,50,433,1.364958,420,7.991882,447,22.980000,3.819910
2,508,14,570,56,569,1.983900,570,7.912132,547,26.100000,3.788293
2,601,14,660,62,661,1.788981,660,7.918936,649,29.780000,3.849522
2,706,14,735,72,706,1.706515,735,8.545496,749,33.700000,3.944286
2,802,16,840,76,802,1.784236,840,8.204146,849,36.580000,3.919971
2,919,18,975,78,967,1.761041,975,7.586652,949,38.260000,3.790608
3,1009,20,1995,148,1402,1.647631,1155,9.135596,1415,54.936000,3.930334
3,2029,30,2730,208,2029,1.715762,2730,9.539146,2449,80.364000,3.938192
3,3076,44,3990,250,3076,1.845344,3465,9.205098,3465,103.686000,3.947789
3,4051,60,4830,310,4801,1.856187,4620,9.432003,4473,126.344000,3.975565
3,5416,72,5775,358,5416,1.965120,5775,9.302545,5477,146.604000,3.956638
3,6353,88,6930,424,6353,2.124621,6930,9.570228,6481,169.544000,4.021600
3,7219,94,7770,442,7219,2.055910,7770,9.129686,7483,187.038000,3.972489
3,8116,112,8925,520,8777,2.179478,8925,9.643464,8485,206.446000,3.976809
3,9014,124,9975,544,9649,2.163663,9240,9.637497,9487,225.948000,3.991146
4,10462,134,19635,990,11272,2.131467,15015,10.422348,14143,323.909800,4.004160
4,20023,234,28665,1312,20816,2.279925,21945,10.036306,24495,488.523200,4.010742
4,30332,332,39270,1790,35792,2.297694,30030,10.293246,34641,641.131600,4.011841
4,40597,416,49665,2050,40597,2.307754,45045,10.267641,44721,785.860400,4.011235
4,51826,516,58905,2476,51826,2.346624,58905,10.142189,54773,926.562400,4.015062
4,60413,604,69615,2826,67904,2.413565,60060,10.288579,64807,1064.824400,4.024570
4,71633,676,78540,3108,71633,2.358847,75075,10.186498,74833,1194.073200,4.012790
4,80441,786,87780,3374,89459,2.383150,87780,9.960052,84853,1324.849400,4.016448
4,91958,860,98175,3708,92357,2.434532,90090,10.384689,94869,1455.384200,4.025406
5,101467,948,195195,6716,116728,2.402456,150150,10.404410,141421,2117.938640,4.020835
5,204928,1688,285285,9808,204928,2.464243,255255,10.988794,244949,3252.344420,4.022875
5,300739,2396,390390,12048,366794,2.499164,345345,10.823075,346411,4319.025960,4.023491
5,401509,3044,495495,14828,463549,2.513127,435435,10.808231,447213,5340.328240,4.022716
5,500417,3742,570570,17786,548461,2.531963,510510,11.026899,547723,6334.456400,4.024812
5,603182,4352,690690,20546,686398,2.527108,690690,10.755350,648075,7298.350160,4.023686
5,700268,4948,765765,22942,770558,2.532269,765765,10.999099,748331,8241.694940,4.022217
5,804191,5550,855855,25114,804191,2.552045,855855,10.950614,848529,9177.052700,4.025351
5,909037,6154,990990,26788,915961,2.547074,930930,10.674738,948683,10089.567000,4.024420
