FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
4,4,4,4,1.374,4,1.374,4,2.640647,4,2.64064726,4,1.374040,2.640647263,4,0.000000
5,5,5,5,2.835,5,2.835,5,3.671660,5,3.67165967,5,2.834941,3.671659666,5,3.671660
6,6,6,6,3.664,6,3.664,6,5.881629,6,5.88162907,6,3.664108,5.881629073,6,5.881629
7,7,7,7,2.765,7,2.765,7,3.489676,7,3.48967645,7,2.764782,3.489676449,7,0.000000
8,8,8,8,2.813,8,2.813,8,3.041144,8,3.04114360,8,2.813219,3.041143599,8,0.000000
9,9,9,9,4.578,9,4.578,9,5.525862,9,5.52586202,9,4.578373,5.525862020,9,5.525862
10,10,10,10,3.565,10,3.565,10,3.780202,10,3.78020154,10,3.564951,3.780201543,10,3.780202
11,11,11,11,2.730,11,2.730,11,3.139560,11,3.13955955,11,2.730098,3.139559553,11,0.000000
12,12,12,12,5.610,12,5.610,12,5.773237,12,5.77323750,12,5.609841,5.773237500,12,5.773237
13,13,13,13,2.740,13,2.740,13,3.003952,13,3.00395250,13,2.739597,3.003952498,13,0.000000
14,14,14,14,3.371,14,3.371,14,3.354018,14,3.35401832,14,3.371055,3.354018320,14,0.250774
15,29,(5#)/2,17,2.919,15,7.104,16,2.827959,15,7.44204983,21,4.584129,4.119601657,29,0.000000
30,44,(5#),31,3.610,42,9.850,32,2.755858,30,7.31669552,36,5.790474,4.151424970,37,0.000000
45,59,(5#)3/2,47,4.325,45,11.012,59,2.768000,45,7.25311984,52,6.661686,4.060823534,47,0.079765
60,74,(5#)2,61,4.899,60,13.007,64,2.723396,60,7.26826468,67,7.686537,4.099546625,61,0.159771
75,89,(5#)5/2,79,5.614,75,14.366,89,2.738032,75,7.23785522,82,8.568520,4.098868408,79,0.222548
90,104,(5#)3,97,6.271,90,16.061,101,2.732214,90,7.22661723,97,9.363032,4.069934310,97,0.256054
105,119,(7#)/2,107,6.633,105,20.776,113,2.727535,105,8.65373287,112,10.364195,4.151630572,118,0.000000
120,134,(5#)4,122,7.269,120,18.897,128,2.705692,120,7.21863107,127,10.988088,4.081184930,134,0.000000
135,149,(5#)9/2,137,7.642,135,20.068,149,2.717653,135,7.20715746,142,11.675028,4.061233137,142,0.000000
150,164,(5#)5,151,8.101,150,21.516,157,2.716013,150,7.20240197,157,12.347857,4.039968405,151,0.030536
165,179,(5#)11/2,167,8.605,165,25.143,173,2.713137,165,7.99396136,172,13.291737,4.116531447,167,0.154296
180,194,(5#)6,181,9.031,180,24.027,193,2.710138,180,7.19914727,187,13.799675,4.054575903,181,0.248902
195,209,(5#)13/2,197,9.513,195,27.373,197,2.709602,195,7.84639391,202,14.652193,4.105079405,197,0.344617
210,224,(7#),211,9.931,210,31.684,223,2.707634,210,8.62766453,217,15.319128,4.100279552,211,0.419479
225,239,(5#)15/2,227,10.395,231,27.902,233,2.705505,231,7.18665064,232,15.946782,4.092454227,227,0.496203
240,254,(5#)8,241,10.789,240,28.716,241,2.704739,240,7.18795229,247,16.453225,4.054592128,241,0.556707
255,269,(5#)17/2,256,11.217,255,31.692,256,2.694629,255,7.66233090,262,17.064462,4.052078945,256,0.614031
270,284,(5#)9,271,11.628,270,30.933,281,2.701475,270,7.18151315,277,17.783099,4.072563531,271,0.670552
285,299,(5#)19/2,293,12.221,285,33.777,293,2.700645,285,7.60003889,292,18.575546,4.112037253,293,0.742097
300,314,(5#)10,302,12.548,300,33.107,313,2.699380,300,7.18040446,307,18.770462,4.019881100,307,0.783800
315,329,(7#)3/2,317,12.859,315,40.860,317,2.699144,315,8.61243824,322,19.761984,4.104591432,317,0.811465
330,344,(5#)11,331,13.229,330,39.118,337,2.698031,330,7.97288986,337,20.321216,4.093641761,331,0.848500
345,359,(5#)23/2,347,13.643,345,37.850,353,2.697217,345,7.51428941,352,20.830618,4.078730470,347,0.887719
360,374,(5#)12,362,14.105,360,37.276,373,2.696281,360,7.17484332,367,21.285802,4.052999399,367,0.932942
375,389,(5#)25/2,379,14.457,375,38.180,389,2.695590,375,7.17218016,382,21.751464,4.034672146,379,0.958265
390,404,(5#)13,397,14.904,390,42.857,401,2.695102,390,7.82297007,397,22.687957,4.100619469,397,0.993772
405,419,(5#)27/2,409,15.201,405,40.172,409,2.694789,405,7.16872952,412,22.901431,4.038683127,409,1.016193
420,434,(7#)2,421,15.496,420,49.527,433,2.693909,420,8.60460943,427,23.935277,4.120023246,421,1.037598
435,449,(5#)29/2,439,15.938,435,43.705,449,2.693365,435,7.43381650,442,24.062229,4.047726892,439,1.068146
450,464,(5#)15,457,16.369,462,43.977,461,2.692977,450,7.16740610,457,25.003458,4.110553711,457,1.096395
465,479,(5#)31/2,467,16.611,465,45.586,479,2.692862,465,7.41254608,472,25.005201,4.023844316,467,1.111622
480,494,(5#)16,482,17.039,480,45.128,491,2.692499,480,7.16699325,487,25.831268,4.068572990,487,1.140209
495,509,(5#)33/2,499,17.369,495,51.081,509,2.691576,495,7.96127842,502,26.340227,4.065252702,499,1.156476
510,524,(5#)17,512,17.676,510,50.137,512,2.687013,510,7.64200733,517,26.644433,4.029887259,512,1.171268
525,539,(7#)5/2,526,18.068,525,57.404,538,2.696236,525,8.59526155,532,27.875276,4.135733504,526,1.198887
540,554,(5#)18,541,18.343,540,48.866,541,2.690754,540,7.16406134,547,27.877645,4.056173460,541,1.208616
555,569,(5#)37/2,557,18.710,555,51.108,569,2.690097,555,7.36711643,562,28.477396,4.068796876,557,1.226858
570,584,(5#)19,571,19.031,570,53.671,577,2.689918,570,7.58309947,577,28.739781,4.032007903,571,1.242301
585,599,(5#)39/2,587,19.394,585,56.183,593,2.689572,585,7.81130946,592,29.731866,4.099119042,587,1.259032
600,614,(5#)20,601,19.706,600,52.503,613,2.689161,600,7.16156148,607,29.856158,4.044862909,601,1.272917
615,629,(5#)41/2,617,20.064,615,54.672,617,2.689081,615,7.34376615,622,30.572857,4.073627182,617,1.288329
630,644,(7#)3,631,20.378,630,65.138,641,2.688619,630,8.59151890,637,31.021227,4.065405426,631,1.301440
645,659,(5#)43/2,647,20.732,645,56.419,653,2.688398,645,7.33291201,652,31.335437,4.041620663,647,1.315683
660,674,(5#)22,661,21.037,660,62.281,673,2.688043,660,7.95488109,667,32.492867,4.124742212,661,1.327533
675,689,(5#)45/2,677,21.387,675,56.838,677,2.687974,675,7.15816029,682,32.034230,4.004523697,677,1.340744
690,704,(5#)23,691,21.694,690,60.545,701,2.687574,690,7.49849551,697,33.394013,4.111388412,691,1.352030
705,719,(5#)47/2,709,22.081,705,59.872,709,2.687445,705,7.31554422,712,33.397762,4.051852812,709,1.365680
720,734,(5#)24,727,22.471,720,59.526,733,2.687072,720,7.15748556,727,33.445660,3.998691886,727,1.379040
735,749,(7#)7/2,739,22.727,735,72.355,743,2.687181,735,8.58765606,742,35.161498,4.145268160,739,1.387556
750,764,(5#)25,751,22.983,750,61.231,761,2.686660,750,7.15592908,757,34.710622,4.033997189,751,1.395844
765,779,(5#)51/2,766,23.362,765,66.126,773,2.686490,765,7.63188974,772,35.488002,4.068906047,769,1.407742
780,794,(5#)26,787,23.745,780,68.652,787,2.686539,780,7.80631466,787,35.890778,4.059579880,787,1.419438
795,809,(5#)53/2,797,23.953,795,64.936,809,2.686005,795,7.29507791,802,36.364722,4.059653300,797,1.425547
810,824,(5#)27,811,24.248,810,64.604,821,2.685851,810,7.15438185,817,36.749421,4.048885834,811,1.434186
825,839,(5#)55/2,827,24.581,825,72.615,829,2.685750,825,7.94826955,832,37.174321,4.044527629,827,1.443618
840,854,(7#)4,842,24.952,840,79.529,853,2.685456,840,8.58511659,847,38.059649,4.088393083,842,1.456852
855,869,(5#)57/2,857,25.200,855,70.960,857,2.685408,855,7.57413677,862,38.651694,4.101316227,857,1.460378
870,884,(5#)29,877,25.611,870,70.435,881,2.685129,870,7.41790809,877,38.729454,4.059020599,877,1.471089
885,899,(5#)59/2,887,25.818,885,69.861,887,2.685271,885,7.27759819,892,38.942113,4.033369846,887,1.476405
