FIRST,LAST,START,minAt*,Gpred(minAt*),maxAt*,Gpred(maxAt*),n_0*,Cpred_min(n_0*),n_1*,Cpred_max(n_1*),n_geom,<COUNT>*,Cpred_avg,n_align,C_align
4,4,4e0,4,1.374,4,1.374,4,2.640647,4,2.64064726,4,1.374040,2.640647263,4,0.000000
5,5,5e0,5,2.835,5,2.835,5,3.671660,5,3.67165967,5,2.834941,3.671659666,5,3.671660
6,6,6e0,6,3.664,6,3.664,6,5.881629,6,5.88162907,6,3.664108,5.881629073,6,5.881629
7,7,7e0,7,2.765,7,2.765,7,3.489676,7,3.48967645,7,2.764782,3.489676449,7,0.000000
8,8,8e0,8,2.813,8,2.813,8,3.041144,8,3.04114360,8,2.813219,3.041143599,8,0.000000
9,9,9e0,9,4.578,9,4.578,9,5.525862,9,5.52586202,9,4.578373,5.525862020,9,5.525862
10,19,1e1,11,2.730,15,7.104,16,2.827959,15,7.44204983,14,4.000300,4.073117089,19,0.000000
20,29,2e1,23,3.234,21,7.093,29,2.831601,21,6.57448708,24,4.677447,4.011382337,29,0.000000
30,39,3e1,31,3.610,30,9.487,32,2.755858,30,7.31669552,34,5.875736,4.343049980,37,0.000000
40,49,4e1,41,4.049,45,11.012,47,2.787671,45,7.25311984,44,6.184598,4.046909271,41,0.032514
50,59,5e1,53,4.568,57,9.848,59,2.768000,51,5.81226133,54,6.617906,3.928413506,53,0.118302
60,69,6e1,61,4.899,60,13.007,64,2.723396,60,7.26826468,64,7.990895,4.341378146,61,0.159771
70,79,7e1,71,5.306,75,14.366,79,2.748236,75,7.23785522,74,8.063836,4.047537280,71,0.199190
80,89,8e1,83,5.765,84,13.942,89,2.738032,84,6.51675933,84,8.327855,3.908707123,83,0.232079
90,99,9e1,97,6.271,90,16.061,97,2.734007,90,7.22661723,94,9.811920,4.323542466,97,0.256054
100,199,1e2,101,6.414,195,27.373,128,2.705692,105,8.65373287,141,12.083958,4.078882595,142,0.000000
200,299,2e2,202,9.764,285,33.777,256,2.694629,210,8.62766453,245,16.578457,4.063384720,202,0.397669
300,399,3e2,302,12.548,390,42.857,397,2.695262,315,8.61243824,346,20.834537,4.097846309,307,0.783800
400,499,4e2,401,15.003,495,51.081,499,2.692266,420,8.60460943,447,24.412788,4.057775374,401,1.001363
500,599,5e2,503,17.463,525,57.404,512,2.687013,525,8.59526155,547,27.927923,4.051604938,503,1.161759
600,699,6e2,601,19.706,630,65.138,677,2.687974,630,8.59151890,648,31.575198,4.082486037,601,1.272917
700,799,7e2,701,21.909,735,72.355,797,2.686163,735,8.58765606,748,34.745005,4.065399776,701,1.359623
800,899,8e2,802,24.120,840,79.529,881,2.685129,840,8.58511659,848,37.700670,4.041059135,809,1.432861
900,999,9e2,907,26.226,945,86.289,997,2.683925,945,8.58109858,948,41.170920,4.079346414,907,1.486512
1000,1999,1e3,1006,28.272,1995,156.636,1997,2.678376,1155,9.53038205,1414,56.684095,4.057121339,1009,1.532558
2000,2999,2e3,2003,46.389,2730,203.653,2999,2.675891,2310,9.51581951,2449,82.590973,4.050825207,2003,1.751810
3000,3999,3e3,3001,62.610,3990,262.876,3989,2.674288,3465,9.50848395,3464,106.438151,4.053743331,3001,1.824119
4000,4999,4e3,4001,77.746,4620,308.340,4993,2.673176,4620,9.50411589,4472,128.673849,4.048587272,4001,1.850990
5000,5999,5e3,5003,92.149,5775,365.624,5981,2.672341,5775,9.50066085,5477,149.924522,4.045496113,5519,1.675163
6000,6999,6e3,6002,105.976,6930,420.803,6997,2.671656,6930,9.49806184,6480,170.663525,4.048900134,6007,1.729720
7000,7999,7e3,7001,119.286,7980,447.283,7993,2.671100,7140,9.11780756,7483,190.509725,4.045506394,7001,1.820352
8000,8999,8e3,8002,132.325,8925,491.494,8969,2.670637,8085,9.49590434,8485,209.877265,4.043490806,8002,1.892206
9000,9999,9e3,9001,144.963,9975,532.113,9973,2.670225,9240,9.49425470,9486,229.125672,4.047205330,9001,1.949214
10000,19999,1e4,10007,157.457,19635,1016.479,19997,2.667806,15015,10.35084820,14142,326.969131,4.042289920,10007,1.996965
20000,29999,2e4,20011,272.112,28875,1297.600,29989,2.666587,21945,10.04195477,24494,491.931636,4.039738645,20011,2.233066
30000,39999,3e4,30011,376.471,39270,1774.048,39989,2.665790,30030,10.34277928,34641,645.276788,4.038744913,30011,2.324620
40000,49999,4e4,40009,474.885,49665,2061.639,49993,2.665206,45045,10.33858306,44721,791.085603,4.037459430,40009,2.374603
50000,59999,5e4,50012,569.306,58905,2467.242,59981,2.664751,58905,10.10631242,54772,931.552811,4.036622242,50021,2.406499
60000,69999,6e4,60013,660.536,69615,2777.275,69997,2.664379,60060,10.33583324,64807,1067.959283,4.036293961,60013,2.428675
70000,79999,7e4,70001,749.249,78540,3123.137,79997,2.664066,75075,10.33378818,74833,1200.879011,4.035593578,70001,2.445047
80000,89999,8e4,80018,836.219,87780,3397.194,89989,2.663798,87780,10.02852167,84852,1331.016136,4.035111953,80021,2.457675
90000,99999,9e4,90001,921.143,98175,3753.076,99989,2.663563,90090,10.33218708,94868,1458.857269,4.034994136,90001,2.467641
100000,199999,1e5,100003,1004.773,195195,6791.222,199961,2.662132,105105,10.33087303,141421,2124.522231,4.033439204,100003,2.475740
200000,299999,2e5,200003,1786.821,285285,9881.465,299993,2.661377,255255,11.01228549,244949,3259.649649,4.031895745,200003,2.512055
300000,399999,3e5,300002,2509.952,390390,12153.648,399989,2.660872,345345,10.81343573,346410,4326.954382,4.031004111,300007,2.521444
400000,499999,4e5,400006,3198.407,495495,14867.712,499973,2.660498,435435,10.70261389,447213,5350.479280,4.030322682,499979,2.520977
500000,599999,5e5,500009,3862.643,570570,17742.144,599993,2.660202,510510,11.00731236,547722,6342.141082,4.029812273,599999,2.516900
600000,699999,6e5,600004,4508.493,690690,20648.092,699961,2.659959,690690,10.80879328,648074,7309.014724,4.029446557,667013,2.483660
700000,799999,7e5,700001,5139.584,765765,22953.592,799993,2.659754,765765,11.00465714,748331,8255.509108,4.029086735,700001,2.489924
800000,899999,8e5,800011,5758.585,855855,25050.780,899981,2.659576,855855,10.92304757,848528,9184.974003,4.028784566,800011,2.506027
900000,999999,9e5,900001,6367.081,990990,26813.854,999961,2.659420,930930,10.67143869,948683,10099.932542,4.028573407,900001,2.518845
