START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio
13PR56,1689113,2.150393,1696693,0.000799,7.897800e+00,31.977913,8.661188e+00
13PR113/2,1701709,2.059257,1711687,0.018279,4.724348e+00,31.977913,8.286055e+00
13PR57,1720819,2.131617,1726693,0.035455,4.096372e+00,31.965411,8.577622e+00
13PR115/2,1735414,2.055283,1741723,0.052345,3.670312e+00,31.977913,8.254289e+00
13PR58,1742492,2.093576,1756747,0.068873,3.414365e+00,31.977913,8.405908e+00
13PR117/2,1761943,2.133764,1771751,0.085657,3.215292e+00,31.977227,8.565745e+00
13PR59,1785341,2.094852,1786781,0.101739,3.024827e+00,31.977913,8.396416e+00
17PR7/2,1792828,2.146530,1801781,0.117487,2.905280e+00,31.977913,8.609535e+00
13PR60,1812164,2.156059,1816813,0.133491,2.782003e+00,31.977913,8.643685e+00
13PR121/2,1826464,2.170682,1831811,0.148745,2.680563e+00,31.977913,8.702390e+00
13PR61,1846462,2.164885,1846843,0.163913,2.580787e+00,32.288436,8.589586e+00
13PR123/2,1859489,1.979637,1861859,0.179045,2.403032e+00,32.288436,7.783520e+00
13PR62,1875931,2.035858,1876859,0.193678,2.352476e+00,32.598959,7.942154e+00
13PR125/2,1877296,1.977693,1891889,0.208504,2.249728e+00,32.598959,7.680067e+00
13PR63,1895332,2.046121,1906889,0.222623,2.218221e+00,32.598959,7.969872e+00
13PR127/2,1913854,2.127029,1921919,0.237015,2.194358e+00,32.598959,8.316666e+00
13PR64,1924204,2.214646,1936889,0.250778,2.178280e+00,32.598959,8.699625e+00
13PR129/2,1949657,2.162140,1951949,0.264683,2.100321e+00,32.598959,8.461734e+00
13PR65,1963592,2.094141,1966963,0.278048,2.019105e+00,32.598959,8.152557e+00
13PR131/2,1968059,2.172061,1981963,0.291555,2.008203e+00,32.585860,8.500592e+00
13PR66,1985792,2.182376,1996979,0.304935,1.968071e+00,32.598959,8.538707e+00
13PR133/2,1998058,2.211318,2012009,0.317726,1.940155e+00,32.598959,8.668019e+00
13PR67,2020861,2.229865,2027023,0.330669,1.908578e+00,32.598959,8.749579e+00
13PR135/2,2029831,2.154800,2042039,0.343494,1.836284e+00,32.598959,8.397949e+00
17PR4,2055437,2.105321,2057053,0.355747,1.778003e+00,32.914777,8.084817e+00
13PR137/2,2062322,2.138657,2072053,0.368159,1.759418e+00,32.915513,8.232750e+00
13PR69,2077606,2.216329,2087081,0.380462,1.762221e+00,33.232066,8.508265e+00
13PR139/2,2091464,2.190662,2097152,0.392391,1.719700e+00,33.232066,8.368704e+00
13PR70,2111114,2.005905,2117099,0.404126,1.602124e+00,33.232066,7.515402e+00
13PR141/2,2125304,2.186157,2132129,0.415880,1.659504e+00,33.232066,8.356827e+00
13PR71,2136149,2.061987,2147137,0.427537,1.573385e+00,33.232066,7.762473e+00
13PR143/2,2147606,2.128512,2162137,0.439038,1.578592e+00,33.232066,8.072142e+00
13PR72,2171504,2.171056,2177167,0.450292,1.573073e+00,33.232066,8.270937e+00
13PR145/2,2187044,2.195142,2192161,0.461162,1.560253e+00,33.232066,8.383972e+00
13PR73,2201393,2.083583,2207203,0.472218,1.484404e+00,33.232066,7.837233e+00
13PR147/2,2219171,2.167686,2222219,0.483080,1.501233e+00,33.232066,8.241546e+00
13PR74,2229893,2.207717,2237219,0.493855,1.497472e+00,33.218352,8.436986e+00
13PR149/2,2250184,2.239203,2252233,0.504493,1.490321e+00,33.232066,8.585521e+00
13PR75,2254159,2.247952,2267263,0.514946,1.473713e+00,33.232066,8.626479e+00
13PR151/2,2269648,2.234703,2282257,0.525318,1.447860e+00,33.554768,8.475162e+00
13PR76,2287477,2.183697,2297291,0.535507,1.405561e+00,33.554768,8.218213e+00
17PR9/2,2297546,2.020006,2312293,0.545623,1.308927e+00,33.554768,7.393012e+00
13PR77,2324848,2.023201,2327323,0.555565,1.292451e+00,33.877469,7.329976e+00
13PR155/2,2330698,2.195868,2342309,0.565432,1.356743e+00,33.876682,8.188519e+00
13PR78,2352356,2.166708,2357353,0.575181,1.326279e+00,33.877469,8.037239e+00
13PR157/2,2362397,2.123739,2372369,0.584763,1.289727e+00,33.877469,7.814597e+00
13PR79,2374888,2.183793,2387383,0.594277,1.301473e+00,33.877469,8.115332e+00
13PR159/2,2391553,2.170606,2402383,0.603632,1.279797e+00,33.877469,8.043646e+00
13PR80,2404177,2.206745,2417399,0.612919,1.281041e+00,33.877469,8.225643e+00
13PR161/2,2418436,2.218358,2432429,0.622284,1.271126e+00,33.877469,8.281473e+00
13PR81,2439559,2.167708,2447437,0.631467,1.233380e+00,33.877469,8.013496e+00
13PR163/2,2449693,2.069507,2462443,0.640431,1.172924e+00,33.877469,7.493967e+00
13PR82,2469433,2.201227,2477471,0.649246,1.220959e+00,33.877469,8.181374e+00
13PR165/2,2492383,2.150254,2492461,0.658004,1.184130e+00,33.863121,7.910964e+00
13PR83,2503348,2.175427,2507489,0.666661,1.182699e+00,33.877469,8.036778e+00
13PR167/2,2519329,2.174516,2522503,0.675554,1.169028e+00,34.206438,7.948673e+00
13PR84,2528516,2.211674,2537527,0.683970,1.173591e+00,34.206438,8.142773e+00
13PR169/2,2538527,2.215123,2552531,0.692333,1.162996e+00,34.206438,8.158049e+00
17PR5,2563973,2.206956,2567557,0.700564,1.147484e+00,34.535407,8.033987e+00
13PR171/2,2579207,2.195684,2582551,0.709070,1.130295e+00,34.535407,7.968518e+00
13PR86,2596786,2.279641,2597591,0.717114,1.156538e+00,34.535407,8.417578e+00
13PR173/2,2607107,2.282511,2611457,0.725110,1.146708e+00,34.535407,8.428672e+00
13PR87,2622397,2.207076,2627617,0.733141,1.102086e+00,34.534584,8.019809e+00
13PR175/2,2637112,2.217640,2642639,0.741127,1.096027e+00,34.535407,8.073344e+00
13PR88,2645171,2.243540,2657651,0.748868,1.097248e+00,34.535407,8.212768e+00
13PR177/2,2666101,2.196769,2672639,0.756673,1.065812e+00,34.535407,7.951467e+00
13PR89,2676151,2.231541,2687677,0.764365,1.071402e+00,34.535407,8.140397e+00
13PR179/2,2688646,2.212094,2702681,0.771855,1.052898e+00,34.535407,8.029510e+00
13PR90,2713981,2.183915,2717713,0.779541,1.030169e+00,34.535407,7.867212e+00
13PR181/2,2731523,2.171731,2732701,0.786870,1.015217e+00,34.535407,7.794897e+00
13PR91,2737006,2.137177,2747713,0.794197,9.899095e-01,34.520405,7.598374e+00
13PR183/2,2753578,2.197591,2762759,0.801575,1.008538e+00,34.535407,7.932400e+00
13PR92,2774302,2.254459,2777771,0.808674,1.025269e+00,34.535407,8.253803e+00
13PR185/2,2789569,2.243756,2792773,0.816013,1.011476e+00,34.870764,8.110123e+00
13PR93,2804299,2.193318,2807789,0.822928,9.803020e-01,34.870764,7.820539e+00
17PR11/2,2818276,2.284102,2822819,0.830084,1.012201e+00,34.870764,8.336209e+00
13PR94,2824306,2.239894,2837803,0.836896,9.844840e-01,35.206122,8.003663e+00
13PR189/2,2841166,2.188566,2852849,0.843941,9.529192e-01,35.206122,7.705848e+00
13PR95,2865007,2.192574,2867861,0.850578,9.469154e-01,35.206122,7.725794e+00
13PR191/2,2869586,2.159935,2882863,0.857487,9.238274e-01,35.206122,7.532055e+00
13PR96,2889301,2.274633,2897893,0.864024,9.679735e-01,35.206122,8.194349e+00
13PR193/2,2911721,2.210784,2912893,0.870765,9.317303e-01,35.205262,7.819343e+00
13PR97,2913832,2.228863,2927917,0.877170,9.325461e-01,35.206122,7.922474e+00
13PR195/2,2928017,2.229187,2942909,0.883814,9.251456e-01,35.206122,7.920374e+00
13PR98,2952199,2.242233,2957947,0.890325,9.236410e-01,35.206122,7.994043e+00
13PR197/2,2968153,2.231808,2972969,0.896578,9.119820e-01,35.206122,7.930127e+00
13PR99,2979682,2.224337,2987983,0.903000,9.014916e-01,35.206122,7.881918e+00
13PR199/2,2988283,2.180719,3002981,0.909096,8.749592e-01,35.190447,7.621719e+00
13PR100,3008938,2.139340,3018013,0.915397,8.488948e-01,35.206122,7.364447e+00
13PR201/2,3019858,2.226987,3033011,0.921669,8.822187e-01,35.206122,7.887867e+00
13PR101,3041608,2.241316,3048043,0.927590,8.822286e-01,35.206122,7.972738e+00
13PR203/2,3060964,2.191750,3063059,0.933715,8.532843e-01,35.206122,7.667325e+00
17PR6,3063694,2.227320,3078073,0.939814,8.628724e-01,35.547993,7.804457e+00
13PR205/2,3081739,2.299466,3093071,0.945566,8.886485e-01,35.547993,8.241542e+00
13PR103,3095308,2.281496,3108103,0.951523,8.745228e-01,35.547993,8.129961e+00
13PR207/2,3115402,2.222816,3123091,0.957456,8.422504e-01,35.889863,7.693303e+00
13PR104,3128803,2.260340,3138131,0.963046,8.531693e-01,35.889863,7.920354e+00
13PR209/2,3147163,2.185172,3153149,0.968841,8.133493e-01,35.889863,7.456829e+00
13PR105,3163168,2.329698,3168119,0.974612,8.714545e-01,35.889863,8.341639e+00
13PR211/2,3178369,2.338073,3183179,0.980304,8.692196e-01,35.889863,8.392568e+00
13PR106,3184942,2.261835,3198191,0.985689,8.305908e-01,35.888965,7.920464e+00
13PR213/2,3207779,2.292646,3213163,0.991278,8.384669e-01,35.889863,8.109556e+00
13PR107,3225197,2.290834,3227129,0.996846,8.320749e-01,35.889863,8.093929e+00
13PR215/2,3236348,2.266229,3243239,1.002366,8.157540e-01,35.889863,7.939684e+00
13PR108,3245399,2.287321,3258247,1.007670,8.197405e-01,35.873494,8.074776e+00
