START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
5,5,2.590290,5,1.114773,8.431190e-01,4.091470,3.606325e-01,EXPECTED
6,6,3.210402,6,0.417230,2.040514e+00,5.058624,5.521604e-01,EXPECTED
8,8,2.162039,8,0.652599,1.197844e+00,3.724143,4.053120e-01,EXPECTED
9,9,4.827796,9,1.486689,1.177839e+00,4.593416,7.273687e-01,EXPECTED
10,10,2.120759,10,0.634184,1.207190e+00,4.430333,3.355448e-01,EXPECTED
12,12,4.116507,12,1.228807,1.208961e+00,4.525993,6.380257e-01,EXPECTED
13,13,2.192988,13,0.897249,8.936869e-01,4.269037,3.035202e-01,EXPECTED
14,14,1.989892,14,0.324487,1.813590e+00,4.142552,4.020239e-01,EXPECTED
7PR,223,1.053604,223,0.001027,6.933330e+00,2.779983,3.786271e-01,EXPECTED
5PR8,241,1.504150,251,0.153961,2.279284e+00,2.664700,5.066946e-01,EXPECTED
5PR17/2,262,2.366905,256,0.122748,2.959205e+00,2.601803,8.625392e-01,EXPECTED
5PR9,283,1.808288,283,0.211780,2.144588e+00,2.539212,6.287415e-01,EXPECTED
5PR19/2,292,2.207228,293,0.406384,1.692194e+00,2.477328,7.269300e-01,EXPECTED
5PR10,313,1.693274,313,0.299359,1.732776e+00,2.442721,5.706403e-01,EXPECTED
7PR3/2,316,2.096745,317,0.314076,1.898506e+00,2.400543,7.426107e-01,EXPECTED
5PR11,337,1.613017,337,0.370193,1.471837e+00,2.393675,5.192117e-01,EXPECTED
5PR23/2,349,1.970222,359,0.340106,1.756644e+00,2.357859,6.913543e-01,EXPECTED
5PR12,362,1.917761,373,0.404197,1.557011e+00,2.316817,6.532946e-01,EXPECTED
5PR25/2,379,1.492247,379,0.421429,1.264387e+00,2.284619,4.687075e-01,EXPECTED
5PR13,391,1.826947,401,0.466686,1.364745e+00,2.255158,6.031777e-01,EXPECTED
5PR27/2,412,2.111809,419,0.896382,8.569335e-01,2.227962,5.455331e-01,EXPECTED
7PR2,433,1.364958,433,0.505618,9.930975e-01,2.218142,3.874143e-01,EXPECTED
5PR29/2,439,2.366648,439,0.516258,1.522623e+00,2.197406,8.420793e-01,EXPECTED
5PR15,463,1.956971,463,0.528729,1.308677e+00,2.171304,6.577808e-01,EXPECTED
5PR31/2,466,1.944258,479,0.580650,1.208488e+00,2.156722,6.322595e-01,EXPECTED
5PR16,481,1.907067,491,0.594921,1.164893e+00,2.133542,6.150083e-01,EXPECTED
5PR33/2,496,1.863948,499,1.156139,4.776108e-01,2.118515,3.341062e-01,EXPECTED
5PR17,524,2.394277,512,0.624953,1.343160e+00,2.095602,8.443035e-01,EXPECTED
7PR5/2,526,2.089567,538,0.653512,1.162351e+00,2.078074,6.910509e-01,EXPECTED
5PR18,548,2.031998,541,0.660835,1.123271e+00,2.072217,6.616889e-01,EXPECTED
5PR37/2,569,1.983900,557,0.646329,1.121511e+00,2.059022,6.496147e-01,EXPECTED
5PR19,577,2.245675,577,0.661663,1.222005e+00,2.042357,7.755804e-01,EXPECTED
5PR39/2,599,2.188595,599,0.939863,8.452809e-01,2.027864,6.157869e-01,EXPECTED
5PR20,601,1.910627,601,0.992241,6.552207e-01,2.015283,4.557107e-01,EXPECTED
5PR41/2,617,1.876316,619,0.830944,8.145032e-01,2.001688,5.222452e-01,EXPECTED
7PR3,631,2.111378,643,0.733417,1.057382e+00,1.997363,6.898901e-01,EXPECTED
5PR43/2,649,2.329513,659,0.910416,9.395129e-01,1.988541,7.136373e-01,EXPECTED
5PR22,661,1.788981,661,0.782687,8.266686e-01,1.976945,5.090147e-01,EXPECTED
5PR45/2,677,2.010889,677,0.983366,7.153508e-01,1.968691,5.219321e-01,EXPECTED
5PR23,697,2.216917,701,0.964546,8.322152e-01,1.954561,6.407429e-01,EXPECTED
5PR47/2,706,1.706515,719,0.837726,7.115175e-01,1.944716,4.467434e-01,EXPECTED
5PR24,734,2.135493,733,1.010875,7.478812e-01,1.938034,5.802881e-01,EXPECTED
7PR7/2,743,2.355865,739,0.980238,8.768678e-01,1.928997,7.131307e-01,EXPECTED
5PR25,751,2.338294,761,0.798453,1.074501e+00,1.927783,7.987626e-01,EXPECTED
5PR51/2,766,2.072834,773,0.784556,9.715541e-01,1.919285,6.712281e-01,EXPECTED
5PR26,788,1.806384,787,0.776549,8.442226e-01,1.910869,5.389354e-01,EXPECTED
5PR53/2,802,1.784236,797,0.930229,6.513148e-01,1.903208,4.487197e-01,EXPECTED
5PR27,821,1.976976,823,0.796043,9.096705e-01,1.896485,6.226957e-01,EXPECTED
5PR55/2,839,2.379710,839,1.072826,7.966823e-01,1.894095,6.899781e-01,EXPECTED
7PR4,841,2.159749,853,0.801991,9.906499e-01,1.887260,7.194335e-01,EXPECTED
5PR57/2,859,1.914982,859,0.961537,6.889305e-01,1.882762,5.064076e-01,EXPECTED
5PR29,883,2.295458,883,0.811399,1.039928e+00,1.875750,7.911817e-01,EXPECTED
5PR59/2,886,2.287381,887,0.823368,1.021760e+00,1.871774,7.821527e-01,EXPECTED
5PR30,904,2.050129,911,0.831295,9.026733e-01,1.865983,6.531860e-01,EXPECTED
5PR61/2,919,1.825774,919,0.893409,7.147148e-01,1.859354,5.014457e-01,EXPECTED
5PR31,943,1.991920,941,0.831648,8.734450e-01,1.855923,6.251725e-01,EXPECTED
7PR9/2,958,2.164457,953,0.932919,8.416064e-01,1.854252,6.641697e-01,EXPECTED
5PR32,967,1.761041,971,0.963707,6.028731e-01,1.850469,4.308821e-01,EXPECTED
5PR65/2,982,1.933461,977,0.886103,7.802337e-01,1.844296,5.678904e-01,EXPECTED
5PR33,997,2.106150,997,0.842782,9.159086e-01,1.841451,6.860720e-01,EXPECTED
5PR67/2,1009,1.898450,1019,1.140895,5.092247e-01,1.836335,4.125364e-01,EXPECTED
5PR34,1024,2.252124,1024,0.853691,9.700597e-01,1.833807,7.625846e-01,EXPECTED
5PR69/2,1048,2.030676,1039,0.944136,7.658538e-01,1.829980,5.937442e-01,EXPECTED
7PR5,1063,2.195023,1063,0.868913,9.267048e-01,1.827710,7.255582e-01,EXPECTED
5PR71/2,1072,2.361462,1069,1.160701,7.102568e-01,1.824943,6.579718e-01,EXPECTED
5PR36,1094,2.506504,1093,0.895408,1.029365e+00,1.823117,8.837041e-01,EXPECTED
5PR73/2,1109,1.952088,1097,0.883886,7.923268e-01,1.820659,5.867117e-01,EXPECTED
5PR37,1123,2.110511,1123,0.879879,8.749010e-01,1.817806,6.769875e-01,EXPECTED
5PR75/2,1126,2.104611,1129,0.952705,7.925806e-01,1.814245,6.349231e-01,EXPECTED
5PR38,1147,2.252003,1153,0.870875,9.500769e-01,1.812649,7.619390e-01,EXPECTED
11PR/2,1244,2.122683,1259,0.888189,8.712516e-01,1.809193,6.823451e-01,EXPECTED
7PR6,1319,1.723241,1361,0.889702,6.610755e-01,1.792425,4.650342e-01,EXPECTED
7PR13/2,1402,1.647631,1459,0.896015,6.091366e-01,1.791374,4.195751e-01,EXPECTED
7PR7,1489,1.865276,1571,0.896381,7.327988e-01,1.787285,5.421044e-01,EXPECTED
7PR15/2,1676,2.104753,1669,0.906925,8.418936e-01,1.787094,6.702658e-01,EXPECTED
7PR8,1774,2.019039,1783,0.913802,7.927630e-01,1.789681,6.175609e-01,EXPECTED
7PR17/2,1849,2.204669,1889,0.887891,9.094837e-01,1.793633,7.341402e-01,EXPECTED
7PR9,1966,1.989272,1993,0.882130,8.131846e-01,1.802048,6.143799e-01,EXPECTED
7PR19/2,2029,1.715762,2048,0.872370,6.763989e-01,1.806375,4.668975e-01,EXPECTED
7PR10,2104,2.003507,2203,0.865237,8.396510e-01,1.823506,6.242206e-01,EXPECTED
7PR21/2,2287,1.989104,2309,0.846146,8.547476e-01,1.836587,6.223272e-01,EXPECTED
11PR,2347,2.156625,2411,0.836850,9.466549e-01,1.843189,7.160280e-01,EXPECTED
7PR23/2,2447,2.190317,2503,0.827222,9.737285e-01,1.851094,7.363727e-01,EXPECTED
7PR12,2623,2.363446,2621,0.884012,9.834054e-01,1.814008,8.155609e-01,EXPECTED
7PR25/2,2633,2.168203,2729,0.910591,8.675602e-01,1.770093,7.104779e-01,EXPECTED
7PR13,2809,2.065835,2833,0.960422,7.659170e-01,1.724895,6.408581e-01,EXPECTED
7PR27/2,2909,2.274897,2939,1.000851,8.210841e-01,1.678920,7.588485e-01,EXPECTED
7PR14,2974,2.064698,3041,1.038318,6.873819e-01,1.646501,6.233704e-01,EXPECTED
7PR29/2,3076,1.845344,3137,1.074180,5.411081e-01,1.605763,4.802477e-01,EXPECTED
7PR15,3221,2.107297,3253,1.110064,6.409884e-01,1.581313,6.306361e-01,EXPECTED
7PR31/2,3334,2.210551,3359,1.144699,6.581001e-01,1.534794,6.944593e-01,EXPECTED
7PR16,3386,2.340982,3463,1.183671,6.819499e-01,1.516468,7.631622e-01,EXPECTED
11PR3/2,3559,2.029695,3559,1.201505,5.243106e-01,1.476769,5.608122e-01,EXPECTED
7PR17,3571,2.249487,3673,1.217226,6.141277e-01,1.460228,7.069177e-01,EXPECTED
7PR35/2,3769,1.943543,3779,1.263405,4.307021e-01,1.432931,4.746481e-01,EXPECTED
7PR18,3799,2.075010,3881,1.280484,4.827278e-01,1.404125,5.658513e-01,EXPECTED
7PR37/2,3964,2.216472,3989,1.301004,5.327805e-01,1.383917,6.615050e-01,EXPECTED
7PR19,4051,2.044491,4093,1.311835,4.437219e-01,1.362869,5.375836e-01,EXPECTED
7PR39/2,4153,2.340594,4096,1.341344,5.567326e-01,1.340163,7.456183e-01,EXPECTED
7PR20,4282,2.220909,4297,1.361928,4.890152e-01,1.316533,6.524569e-01,EXPECTED
7PR41/2,4393,2.306710,4409,1.410118,4.921489e-01,1.289921,6.950751e-01,EXPECTED
7PR21,4486,2.143577,4513,1.396543,4.284760e-01,1.277791,5.846293e-01,EXPECTED
7PR43/2,4603,2.102361,4603,1.411593,3.983421e-01,1.264523,5.462676e-01,EXPECTED
11PR2,4651,2.085780,4723,1.429308,3.779525e-01,1.244323,5.275736e-01,EXPECTED
7PR45/2,4801,1.856187,4817,1.460026,2.400701e-01,1.219288,3.249118e-01,EXPECTED
7PR23,4909,2.178086,4933,1.463933,3.973199e-01,1.210962,5.897402e-01,EXPECTED
7PR47/2,4987,2.151973,5039,1.481669,3.732159e-01,1.195950,5.604783e-01,EXPECTED
7PR24,5086,2.176695,5119,1.497108,3.742724e-01,1.177239,5.772719e-01,EXPECTED
7PR49/2,5242,2.126897,5237,1.509018,3.432050e-01,1.166036,5.298970e-01,EXPECTED
7PR25,5308,2.217466,5351,1.534216,3.683456e-01,1.151176,5.935235e-01,EXPECTED
7PR51/2,5416,1.965120,5449,1.542947,2.418591e-01,1.135602,3.717614e-01,EXPECTED
7PR26,5557,2.301782,5563,1.555827,3.916764e-01,1.120509,6.657287e-01,EXPECTED
7PR53/2,5596,2.182571,5669,1.567497,3.310235e-01,1.109586,5.543275e-01,EXPECTED
7PR27,5728,2.248387,5749,1.579011,3.534144e-01,1.095477,6.110361e-01,EXPECTED
11PR5/2,5857,2.159168,5879,1.596508,3.019042e-01,1.083021,5.195282e-01,EXPECTED
7PR28,5906,2.349289,5981,1.617918,3.729726e-01,1.066178,6.859746e-01,EXPECTED
7PR57/2,6038,2.309643,6089,1.610027,3.608420e-01,1.063791,6.576630e-01,EXPECTED
7PR29,6131,2.233345,6173,1.625918,3.174279e-01,1.053556,5.765493e-01,EXPECTED
7PR59/2,6218,2.356115,6299,1.630288,3.682574e-01,1.042351,6.963365e-01,EXPECTED
7PR30,6353,2.124621,6397,1.642539,2.573502e-01,1.032452,4.669292e-01,EXPECTED
7PR61/2,6421,2.298798,6469,1.655232,3.284452e-01,1.019752,6.311005e-01,EXPECTED
7PR31,6568,2.399779,6607,1.668935,3.631910e-01,1.010449,7.232864e-01,EXPECTED
7PR63/2,6719,2.265862,6719,1.673071,3.032944e-01,1.000490,5.925007e-01,EXPECTED
7PR32,6791,2.430712,6823,1.702832,3.558915e-01,0.989941,7.352761e-01,EXPECTED
7PR65/2,6863,2.365471,6917,1.691869,3.351433e-01,0.981592,6.862342e-01,EXPECTED
11PR3,7024,2.323062,7027,1.700169,3.121585e-01,0.975230,6.387139e-01,EXPECTED
7PR67/2,7108,2.390305,7129,1.742832,3.159096e-01,0.959801,6.745909e-01,EXPECTED
7PR34,7219,2.055910,7243,1.718126,1.794844e-01,0.958220,3.525119e-01,EXPECTED
7PR69/2,7246,2.136908,7349,1.732743,2.096542e-01,0.950431,4.252439e-01,EXPECTED
7PR35,7351,2.199762,7451,1.768798,2.180490e-01,0.943123,4.569542e-01,EXPECTED
7PR71/2,7522,2.372402,7559,1.742943,3.083279e-01,0.934654,6.734674e-01,EXPECTED
7PR36,7561,2.321013,7649,1.747163,2.840104e-01,0.926688,6.192483e-01,EXPECTED
7PR73/2,7727,2.199214,7759,1.755798,2.251766e-01,0.916857,4.836261e-01,EXPECTED
7PR37,7846,2.336977,7873,1.770506,2.775928e-01,0.909974,6.225134e-01,EXPECTED
7PR75/2,7951,2.232082,7963,1.768965,2.325402e-01,0.902628,5.130763e-01,EXPECTED
7PR38,8062,2.328303,8081,1.778847,2.691743e-01,0.892596,6.155708e-01,EXPECTED
11PR7/2,8116,2.236375,8179,1.787188,2.242128e-01,0.891166,5.040441e-01,EXPECTED
7PR39,8224,2.292547,8192,1.791546,2.465845e-01,0.879432,5.696870e-01,EXPECTED
7PR79/2,8311,2.234912,8389,1.799731,2.165646e-01,0.878207,4.955335e-01,EXPECTED
7PR40,8429,2.249292,8501,1.808013,2.183870e-01,0.868829,5.079009e-01,EXPECTED
