START,n_0,C_min,Npred_0,CpredAlign,Lambda_min,Jitter,JitterRatio,Status
5,5,2.590290,5,1.114773,8.431190e-01,4.091470,3.606325e-01,EXPECTED
6,6,3.210402,6,0.417230,2.040514e+00,5.058624,5.521604e-01,EXPECTED
8,8,2.162039,8,0.652599,1.197844e+00,3.724143,4.053120e-01,EXPECTED
9,9,3.862237,9,2.105498,6.066945e-01,3.964664,4.430991e-01,EXPECTED
10,10,2.120759,10,0.634184,1.207190e+00,4.430333,3.355448e-01,EXPECTED
12,12,5.292652,12,1.948514,9.992524e-01,4.132250,8.092778e-01,EXPECTED
13,13,1.644741,13,1.639885,2.956808e-03,3.549319,1.368150e-03,EXPECTED
14,14,3.095388,14,1.060275,1.071385e+00,3.554351,5.725695e-01,EXPECTED
5PR2,67,1.928666,64,0.176842,2.389327e+00,2.840506,6.167296e-01,EXPECTED
5PR5/2,79,1.735643,79,0.602151,1.058625e+00,2.547444,4.449527e-01,EXPECTED
5PR3,103,1.930851,97,0.608515,1.154695e+00,2.390379,5.531909e-01,EXPECTED
7PR/2,116,2.237289,109,0.621164,1.281425e+00,2.349544,6.878462e-01,EXPECTED
5PR4,124,2.151399,128,0.787632,1.004843e+00,2.236021,6.099080e-01,EXPECTED
5PR9/2,142,1.964818,139,0.821571,8.719365e-01,2.144145,5.331948e-01,EXPECTED
5PR5,163,1.789399,157,0.900416,6.867782e-01,2.062663,4.309880e-01,EXPECTED
5PR11/2,166,2.118845,167,1.023919,7.272337e-01,1.981922,5.524567e-01,EXPECTED
5PR6,181,1.668171,191,1.040550,4.719784e-01,1.915677,3.276236e-01,EXPECTED
5PR13/2,199,1.565312,199,1.102947,3.500995e-01,1.866160,2.477628e-01,EXPECTED
7PR,214,2.088662,211,1.160860,5.873626e-01,1.854491,5.003001e-01,EXPECTED
5PR15/2,229,1.987282,239,1.134719,5.603828e-01,1.813332,4.701638e-01,EXPECTED
5PR8,241,2.197845,241,1.253151,5.618162e-01,1.784598,5.293596e-01,EXPECTED
5PR17/2,256,2.375459,256,1.198017,6.845230e-01,1.756695,6.702598e-01,EXPECTED
5PR9,277,2.000289,281,1.254294,4.667188e-01,1.720843,4.335056e-01,EXPECTED
5PR19/2,298,2.369115,293,1.422107,5.103769e-01,1.689565,5.605040e-01,EXPECTED
5PR10,313,1.834381,311,1.303283,3.418206e-01,1.671063,3.178205e-01,EXPECTED
7PR3/2,316,1.821502,317,1.287660,3.468348e-01,1.654280,3.227035e-01,EXPECTED
5PR11,334,2.192816,331,1.340842,4.918888e-01,1.648052,5.169582e-01,EXPECTED
5PR23/2,346,2.136303,349,1.300290,4.964894e-01,1.629509,5.130460e-01,EXPECTED
5PR12,361,2.491896,373,1.342732,6.183375e-01,1.611436,7.131304e-01,EXPECTED
5PR25/2,389,2.364384,383,1.333755,5.725193e-01,1.599856,6.442011e-01,EXPECTED
5PR13,404,2.490536,401,1.366908,5.999467e-01,1.583929,7.093929e-01,EXPECTED
5PR27/2,419,2.617346,409,1.791292,3.792237e-01,1.575177,5.244198e-01,EXPECTED
7PR2,433,2.371783,421,1.384709,5.381520e-01,1.570375,6.285594e-01,EXPECTED
5PR29/2,439,2.172389,439,1.378965,4.544943e-01,1.562859,5.076747e-01,EXPECTED
5PR15,451,2.484088,461,1.378491,5.889162e-01,1.550174,7.132083e-01,EXPECTED
5PR31/2,466,2.603518,467,1.419038,6.068844e-01,1.546852,7.657358e-01,EXPECTED
5PR16,491,2.170204,491,1.423296,4.218459e-01,1.536249,4.861894e-01,EXPECTED
5PR33/2,496,2.158537,503,1.912928,1.207956e-01,1.532230,1.602951e-01,EXPECTED
5PR17,514,2.425229,512,1.424986,5.317640e-01,1.523179,6.566812e-01,EXPECTED
7PR5/2,526,2.224923,526,1.444320,4.320837e-01,1.518973,5.139018e-01,EXPECTED
5PR18,548,2.471090,541,1.445194,5.364158e-01,1.516914,6.763047e-01,EXPECTED
5PR37/2,556,2.138928,569,1.424067,4.067879e-01,1.512430,4.726572e-01,EXPECTED
5PR19,571,2.250802,571,1.422603,4.587983e-01,1.507571,5.493599e-01,EXPECTED
5PR39/2,593,2.479793,587,1.696391,3.796720e-01,1.503799,5.209486e-01,EXPECTED
5PR20,601,2.459414,601,1.760699,3.342122e-01,1.501205,4.654361e-01,EXPECTED
5PR41/2,619,2.264139,619,1.565538,3.689650e-01,1.497652,4.664642e-01,EXPECTED
7PR3,631,2.515024,631,1.459179,5.444084e-01,1.495964,7.057957e-01,EXPECTED
5PR43/2,653,2.451200,647,1.631877,4.068468e-01,1.495013,5.480374e-01,EXPECTED
5PR22,661,2.293985,661,1.494399,4.285664e-01,1.492861,5.356065e-01,EXPECTED
5PR45/2,677,2.655002,677,1.706709,4.418785e-01,1.492579,6.353386e-01,EXPECTED
5PR23,694,2.475723,701,1.662897,3.979712e-01,1.489396,5.457420e-01,EXPECTED
5PR47/2,706,1.932420,709,1.521643,2.389824e-01,1.488940,2.758855e-01,EXPECTED
5PR24,724,2.401837,733,1.706711,3.416657e-01,1.488032,4.671445e-01,EXPECTED
7PR7/2,736,2.497206,739,1.654401,4.117335e-01,1.487946,5.664218e-01,EXPECTED
5PR25,757,2.448382,751,1.465990,5.128966e-01,1.487754,6.603188e-01,EXPECTED
5PR51/2,772,2.412496,769,1.442764,5.141012e-01,1.487327,6.519965e-01,EXPECTED
5PR26,787,2.261955,787,1.422313,4.639451e-01,1.487653,5.644072e-01,EXPECTED
5PR53/2,802,2.347371,797,1.577296,3.975840e-01,1.487694,5.176300e-01,EXPECTED
5PR27,811,2.444106,811,1.427870,5.374956e-01,1.488534,6.827093e-01,EXPECTED
5PR55/2,829,2.750946,829,1.716827,4.714670e-01,1.488687,6.946517e-01,EXPECTED
7PR4,841,2.494510,853,1.423982,5.606351e-01,1.489193,7.188645e-01,EXPECTED
5PR57/2,859,2.120215,863,1.590711,2.873364e-01,1.489867,3.554035e-01,EXPECTED
5PR29,877,2.529782,881,1.417264,5.794049e-01,1.491453,7.459290e-01,EXPECTED
5PR59/2,892,2.389002,887,1.425349,5.164590e-01,1.492047,6.458597e-01,EXPECTED
5PR30,907,2.469201,911,1.426952,5.483539e-01,1.494041,6.976040e-01,EXPECTED
5PR61/2,916,2.557395,919,1.486414,5.426227e-01,1.495696,7.160419e-01,EXPECTED
5PR31,944,2.604008,941,1.413797,6.107728e-01,1.497155,7.949818e-01,EXPECTED
7PR9/2,958,2.578016,953,1.519869,5.283960e-01,1.498132,7.063109e-01,EXPECTED
5PR32,971,2.653928,971,1.546765,5.398752e-01,1.499641,7.382854e-01,EXPECTED
5PR65/2,982,2.428988,977,1.454203,5.130167e-01,1.502104,6.489464e-01,EXPECTED
5PR33,997,2.403811,991,1.401007,5.398641e-01,1.504311,6.666201e-01,EXPECTED
5PR67/2,1009,2.382122,1009,1.721027,3.250705e-01,1.506861,4.387233e-01,EXPECTED
5PR34,1024,2.159339,1024,1.400986,4.326259e-01,1.508996,5.025547e-01,EXPECTED
5PR69/2,1039,2.526535,1039,1.493180,5.259407e-01,1.511498,6.836628e-01,EXPECTED
7PR5,1063,2.578666,1051,1.404058,6.079056e-01,1.513825,7.759206e-01,EXPECTED
5PR71/2,1069,2.567684,1069,1.723337,3.987418e-01,1.515593,5.571067e-01,EXPECTED
5PR36,1087,2.443828,1091,1.425571,5.389932e-01,1.517480,6.710184e-01,EXPECTED
5PR73/2,1109,2.406940,1097,1.406680,5.371239e-01,1.519851,6.581303e-01,EXPECTED
5PR37,1114,2.490995,1123,1.396843,5.784675e-01,1.523556,7.181567e-01,EXPECTED
5PR75/2,1126,2.196286,1129,1.468105,4.027953e-01,1.527250,4.767923e-01,EXPECTED
5PR38,1142,2.537361,1151,1.371929,6.149068e-01,1.530097,7.616720e-01,EXPECTED
11PR/2,1213,2.425805,1249,1.383566,5.614992e-01,1.534219,6.793287e-01,EXPECTED
7PR6,1336,2.178634,1361,1.359046,4.719151e-01,1.553789,5.274770e-01,EXPECTED
7PR13/2,1468,2.256079,1451,1.423207,4.607156e-01,1.481513,5.621766e-01,EXPECTED
7PR7,1546,2.243897,1559,1.493898,4.068253e-01,1.405342,5.336772e-01,EXPECTED
7PR15/2,1609,2.388505,1663,1.554526,4.294970e-01,1.354738,6.156017e-01,EXPECTED
7PR8,1753,2.371121,1783,1.623056,3.790520e-01,1.295541,5.774151e-01,EXPECTED
7PR17/2,1816,2.501503,1801,1.638363,4.231942e-01,1.255172,6.876667e-01,EXPECTED
7PR9,1951,2.491569,1931,1.697095,3.839947e-01,1.197974,6.631813e-01,EXPECTED
7PR19/2,2029,2.361029,2048,1.712592,3.210895e-01,1.177652,5.506185e-01,EXPECTED
7PR10,2147,2.432338,2179,1.772342,3.165511e-01,1.125229,5.865437e-01,EXPECTED
7PR21/2,2287,2.426640,2293,1.779585,3.101274e-01,1.107659,5.841644e-01,EXPECTED
11PR,2344,2.486771,2311,1.825103,3.093487e-01,1.063171,6.223533e-01,EXPECTED
7PR23/2,2446,2.459575,2437,1.839593,2.904442e-01,1.046120,5.926490e-01,EXPECTED
7PR12,2539,2.390593,2609,1.885046,2.375892e-01,1.018278,4.964725e-01,EXPECTED
7PR25/2,2719,2.364339,2711,1.892372,2.226674e-01,0.995061,4.743096e-01,EXPECTED
7PR13,2734,2.260108,2731,1.918611,1.638111e-01,0.970814,3.517636e-01,EXPECTED
7PR27/2,2866,2.498550,2857,1.937681,2.542187e-01,0.946450,5.926029e-01,EXPECTED
7PR14,2974,2.384523,3037,1.959667,1.962245e-01,0.929148,4.572533e-01,EXPECTED
7PR29/2,3076,2.409724,3109,1.976674,1.980966e-01,0.907349,4.772695e-01,EXPECTED
7PR15,3169,2.398188,3253,1.998199,1.824672e-01,0.888700,4.500833e-01,EXPECTED
7PR31/2,3316,2.559556,3359,2.012749,2.403324e-01,0.869479,6.288904e-01,EXPECTED
7PR16,3463,2.515341,3463,2.037274,2.107957e-01,0.846645,5.646605e-01,EXPECTED
11PR3/2,3559,2.463021,3529,2.040656,1.881173e-01,0.838821,5.035222e-01,EXPECTED
7PR17,3646,2.455534,3673,2.048774,1.811027e-01,0.830106,4.900097e-01,EXPECTED
7PR35/2,3754,2.438505,3739,2.077453,1.602425e-01,0.815597,4.426843e-01,EXPECTED
7PR18,3856,2.461009,3881,2.083918,1.663217e-01,0.800454,4.710964e-01,EXPECTED
7PR37/2,3931,2.460542,3947,2.093620,1.614870e-01,0.789759,4.646000e-01,EXPECTED
7PR19,4021,2.312876,4093,2.096698,9.812805e-02,0.778455,2.777013e-01,EXPECTED
7PR39/2,4162,2.490765,4096,2.113249,1.643633e-01,0.766582,4.924666e-01,EXPECTED
7PR20,4276,2.439237,4297,2.122584,1.390511e-01,0.754056,4.199330e-01,EXPECTED
7PR41/2,4376,2.593592,4409,2.152756,1.862949e-01,0.736920,5.982142e-01,EXPECTED
7PR21,4423,2.571975,4513,2.139014,1.843291e-01,0.733579,5.902036e-01,EXPECTED
7PR43/2,4612,2.584675,4583,2.147429,1.853285e-01,0.726609,6.017624e-01,EXPECTED
11PR2,4702,2.515295,4723,2.155390,1.544184e-01,0.715930,5.027098e-01,EXPECTED
7PR45/2,4801,2.322255,4789,2.173323,6.628136e-02,0.702905,2.118807e-01,EXPECTED
7PR23,4933,2.423397,4933,2.173290,1.089281e-01,0.698455,3.580861e-01,EXPECTED
7PR47/2,4987,2.610945,4999,2.183395,1.788312e-01,0.690549,6.191451e-01,EXPECTED
7PR24,5081,2.631925,5119,2.189853,1.838811e-01,0.680673,6.494631e-01,EXPECTED
7PR49/2,5242,2.568675,5209,2.195920,1.567891e-01,0.674904,5.523082e-01,EXPECTED
7PR25,5272,2.500832,5351,2.211813,1.228109e-01,0.667079,4.332605e-01,EXPECTED
7PR51/2,5416,2.532320,5419,2.213868,1.343947e-01,0.658781,4.833958e-01,EXPECTED
7PR26,5557,2.563894,5563,2.219977,1.440304e-01,0.650930,5.283471e-01,EXPECTED
7PR53/2,5578,2.556758,5669,2.225691,1.386726e-01,0.641731,5.158968e-01,EXPECTED
7PR27,5728,2.557604,5749,2.231236,1.365152e-01,0.637787,5.117194e-01,EXPECTED
11PR5/2,5836,2.546932,5839,2.241037,1.279508e-01,0.631167,4.846499e-01,EXPECTED
7PR28,5923,2.517829,5981,2.253581,1.108765e-01,0.622303,4.246292e-01,EXPECTED
7PR57/2,6046,2.528853,6047,2.245805,1.187018e-01,0.621194,4.556515e-01,EXPECTED
7PR29,6184,2.559927,6173,2.255847,1.264532e-01,0.615683,4.938905e-01,EXPECTED
7PR59/2,6211,2.576152,6257,2.256114,1.326529e-01,0.609817,5.248099e-01,EXPECTED
7PR30,6361,2.479787,6397,2.262644,9.163863e-02,0.604644,3.591254e-01,EXPECTED
7PR61/2,6406,2.490436,6469,2.268641,9.327682e-02,0.598127,3.708159e-01,EXPECTED
7PR31,6607,2.597988,6607,2.277159,1.318087e-01,0.593197,5.408473e-01,EXPECTED
7PR63/2,6616,2.523767,6719,2.277764,1.025584e-01,0.587993,4.183774e-01,EXPECTED
7PR32,6781,2.522179,6823,2.298511,9.286169e-02,0.582477,3.839946e-01,EXPECTED
7PR65/2,6826,2.462926,6917,2.286769,7.421017e-02,0.578063,3.047367e-01,EXPECTED
11PR3,6967,2.538098,7027,2.291148,1.023620e-01,0.574763,4.296554e-01,EXPECTED
7PR67/2,7069,2.554651,7103,2.324430,9.444077e-02,0.566733,4.062248e-01,EXPECTED
7PR34,7219,2.490658,7243,2.300436,7.944826e-02,0.565958,3.361062e-01,EXPECTED
7PR69/2,7312,2.509917,7349,2.310522,8.277621e-02,0.561845,3.548933e-01,EXPECTED
7PR35,7411,2.570808,7451,2.337901,9.496673e-02,0.558046,4.173617e-01,EXPECTED
