START,n_geom,C_avg,Cpred_avg,Lambda_avg
(5PR)2,67,2.438650,3.983869,-4.908090e-01
(5PR)3,97,2.852050,3.967481,-3.300935e-01
(7PR)/2,112,2.922980,4.052024,-3.266126e-01
(5PR)4,127,1.574518,3.985842,-9.287990e-01
(5PR)9/2,142,1.618522,3.969280,-8.970713e-01
(5PR)5,157,1.673764,3.950676,-8.588115e-01
(5PR)11/2,172,1.738045,4.027912,-8.404871e-01
(5PR)6,187,4.259635,3.968690,7.074739e-02
(5PR)13/2,202,3.716835,4.019788,-7.835664e-02
(5PR)15/2,232,7.877343,4.010257,6.751354e-01
(5PR)8,247,2.697754,3.974029,-3.873608e-01
(5PR)17/2,262,3.110465,3.972689,-2.446710e-01
(5PR)9,277,6.320274,3.993681,4.590493e-01
(5PR)10,307,4.393902,3.943675,1.081048e-01
(7PR)3/2,322,1.103070,4.027659,-1.295088e+00
(5PR)11,337,1.808383,4.017557,-7.982408e-01
(5PR)23/2,352,4.583358,4.003788,1.351910e-01
(5PR)12,367,1.859027,3.978964,-7.609683e-01
(5PR)25/2,382,4.393822,3.961634,1.035428e-01
(5PR)13,397,3.184186,4.026900,-2.348002e-01
(5PR)27/2,412,2.415508,3.966754,-4.960384e-01
(7PR)2,427,4.072869,4.047019,6.367197e-03
(5PR)29/2,442,5.761244,3.976528,3.707444e-01
(5PR)15,457,6.434585,4.038689,4.657671e-01
(5PR)31/2,472,1.441125,3.954044,-1.009314e+00
(5PR)16,487,2.918628,3.998303,-3.147565e-01
(5PR)33/2,502,3.679610,3.995467,-8.235374e-02
(5PR)17,517,1.952698,3.961082,-7.073052e-01
(5PR)18,547,1.988829,3.987647,-6.956551e-01
(5PR)37/2,562,4.009890,4.000425,2.363155e-03
(5PR)19,577,4.486209,3.964565,1.236120e-01
(5PR)39/2,592,3.623083,4.030960,-1.066791e-01
(5PR)20,607,7.300527,3.977839,6.072080e-01
(5PR)41/2,622,3.674763,4.006432,-8.641251e-02
(7PR)3,637,2.968143,3.998616,-2.980118e-01
(5PR)43/2,652,6.715881,3.975591,5.243015e-01
(5PR)22,667,3.380551,4.057539,-1.825380e-01
(5PR)45/2,682,3.404535,3.939564,-1.459617e-01
(5PR)23,697,1.713659,4.044938,-8.588352e-01
(5PR)47/2,712,2.091383,3.986686,-6.451346e-01
(5PR)24,727,2.632458,3.934543,-4.018764e-01
(7PR)7/2,742,4.235090,4.079032,3.754499e-02
(5PR)25,757,4.792866,3.969733,1.884298e-01
(5PR)51/2,772,2.586994,4.004397,-4.368965e-01
(5PR)26,787,1.481414,3.995352,-9.921343e-01
(5PR)53/2,802,2.484849,3.995664,-4.749977e-01
(5PR)27,817,5.497423,3.985241,3.216815e-01
(5PR)55/2,832,3.937012,3.981224,-1.116726e-02
(7PR)4,847,2.795804,4.024529,-3.642883e-01
(5PR)57/2,862,4.685399,4.037471,1.488327e-01
(5PR)29,877,5.649259,3.995994,3.462321e-01
(5PR)59/2,892,2.740784,3.970983,-3.707697e-01
(5PR)30,907,0.884533,4.001974,-1.509484e+00
(5PR)61/2,922,2.662525,3.991036,-4.047760e-01
(5PR)31,937,4.013608,3.960875,1.322562e-02
(7PR)9/2,952,2.687986,4.061373,-4.127291e-01
(5PR)32,967,3.359812,3.984135,-1.704354e-01
(5PR)65/2,982,4.218735,4.025167,4.696883e-02
(5PR)33,997,2.966966,3.967412,-2.905739e-01
(5PR)67/2,1012,4.254467,3.974773,6.800195e-02
(5PR)34,1027,6.141823,4.029406,4.215027e-01
(5PR)69/2,1042,6.034547,3.953082,4.230054e-01
(7PR)5,1057,4.442677,4.045597,9.362785e-02
(5PR)71/2,1072,3.653126,4.010884,-9.342822e-02
(5PR)36,1087,3.139030,4.011123,-2.451573e-01
(5PR)73/2,1102,6.156990,3.953678,4.429419e-01
