START,n_0,C_min,Npred_0,Cbound,Lambda_min,Jitter,JitterRatio
9,9,3.862237,9,1.419058,1.001253e+00,1.931118,1.265163e+00
12,12,5.292652,12,1.752860,1.105071e+00,1.764217,2.006438e+00
14,14,3.095388,14,0.073388,3.741908e+00,1.547694,1.952582e+00
7PR73/2,7666,2.609550,7727,0.005182,6.221742e+00,0.144835,1.798162e+01
7PR75/2,7894,2.550259,7937,0.033579,4.330049e+00,0.185653,1.355583e+01
7PR38,7993,2.607285,8081,0.062085,3.737560e+00,0.184389,1.380343e+01
11PR7/2,8111,2.618053,8179,0.040954,4.157737e+00,0.181895,1.416806e+01
7PR39,8221,2.570447,8192,0.060708,3.745760e+00,0.180079,1.393688e+01
7PR41,8707,2.572145,8713,0.060882,3.743558e+00,0.173183,1.450063e+01
7PR113/2,11962,2.658242,11969,0.238409,2.411433e+00,0.134954,1.793080e+01
7PR117/2,12379,2.630355,12379,0.020730,4.843292e+00,0.130995,1.992156e+01
7PR59,12442,2.547527,12491,0.085388,3.395673e+00,0.130121,1.892192e+01
7PR119/2,12589,2.609922,12589,0.071353,3.599436e+00,0.129259,1.963940e+01
7PR60,12619,2.647890,12703,0.105801,3.219958e+00,0.128401,1.979805e+01
11PR11/2,12739,2.628100,12809,0.168677,2.746031e+00,0.127565,1.927976e+01
7PR61,12823,2.628430,12911,0.133780,2.977945e+00,0.127008,1.964168e+01
7PR123/2,13003,2.725217,13009,0.235304,2.449425e+00,0.125919,1.977393e+01
7PR62,13049,2.634104,13121,0.181044,2.677558e+00,0.125387,1.956391e+01
7PR125/2,13204,2.664716,13229,0.284639,2.236631e+00,0.124585,1.910404e+01
7PR63,13291,2.609520,13331,0.227270,2.440783e+00,0.123803,1.924226e+01
7PR127/2,13438,2.668489,13399,0.255660,2.345419e+00,0.122775,1.965245e+01
7PR64,13522,2.655186,13537,0.286747,2.225670e+00,0.122009,1.941200e+01
7PR129/2,13597,2.589678,13649,0.295016,2.172259e+00,0.121262,1.892317e+01
