START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
4,4,3.84362411,4,8.46686024,-7.897440e-01,5.013439,-0.922169,EXPECTED
5,5,2.59029039,5,9.21049325,-1.268573e+00,4.091470,-1.618050,EXPECTED
6,6,3.21040200,6,11.52081307,-1.277759e+00,5.058624,-1.642820,EXPECTED
8,8,2.16203856,8,7.47960074,-1.241128e+00,3.724143,-1.427862,EXPECTED
9,9,4.82779584,9,11.81653777,-8.951100e-01,4.593416,-1.521469,EXPECTED
10,10,2.12075924,10,9.86658338,-1.537379e+00,4.430333,-1.748362,EXPECTED
12,12,4.11650737,12,11.20094442,-1.000993e+00,4.525993,-1.565278,EXPECTED
13,13,2.19298840,13,8.71571346,-1.379862e+00,4.269037,-1.527915,EXPECTED
14,14,1.98989245,14,9.00321049,-1.509501e+00,4.142552,-1.692995,EXPECTED
5PR/2,21,5.56147012,15,13.70018937,-9.015472e-01,4.480635,-1.816421,EXPECTED
5PR,30,6.16967660,30,12.97018117,-7.430065e-01,4.666918,-1.457173,EXPECTED
5PR3/2,45,6.58667241,45,12.74545046,-6.601261e-01,4.556597,-1.351618,EXPECTED
5PR2,60,6.70546296,60,12.47791876,-6.210380e-01,4.242061,-1.360767,EXPECTED
5PR5/2,75,7.05323920,75,12.41463938,-5.653894e-01,3.898701,-1.375176,EXPECTED
5PR3,90,5.39954322,90,12.33345549,-8.260012e-01,3.697101,-1.875500,EXPECTED
7PR/2,105,8.33051805,105,13.86423846,-5.093871e-01,3.478805,-1.590696,EXPECTED
5PR4,120,6.87602316,120,12.29782563,-5.813820e-01,3.382240,-1.603021,EXPECTED
5PR9/2,135,6.46434286,135,12.32583230,-6.453959e-01,3.222265,-1.819059,EXPECTED
5PR5,150,5.35604609,150,12.34461943,-8.349943e-01,3.118495,-2.241008,EXPECTED
5PR11/2,165,7.63044269,165,13.19713294,-5.478537e-01,2.999814,-1.855678,EXPECTED
5PR6,189,7.01512641,180,12.42398618,-5.715602e-01,2.898010,-1.866405,EXPECTED
5PR13/2,195,7.45275910,195,13.13784820,-5.669129e-01,2.808769,-2.024050,EXPECTED
7PR,210,8.16901684,210,14.11505253,-5.468932e-01,2.779983,-2.138875,EXPECTED
5PR15/2,225,6.28588791,225,12.60937794,-6.961337e-01,2.721880,-2.323207,EXPECTED
5PR8,252,6.79435245,240,12.42822742,-6.038785e-01,2.664700,-2.114262,EXPECTED
5PR17/2,255,7.25329173,255,12.76565285,-5.653028e-01,2.601803,-2.118670,EXPECTED
5PR9,270,6.96496187,270,12.12701434,-5.545434e-01,2.539212,-2.032935,EXPECTED
5PR19/2,294,6.15296742,285,12.43027533,-7.032006e-01,2.477328,-2.533903,EXPECTED
5PR10,300,6.94040203,300,11.86827071,-5.365088e-01,2.442721,-2.017369,EXPECTED
7PR3/2,315,8.43110623,315,13.34509206,-4.592207e-01,2.400543,-2.047031,EXPECTED
5PR11,330,7.74497014,330,12.45487007,-4.750681e-01,2.393675,-1.967644,EXPECTED
5PR23/2,345,7.94116543,345,11.90332947,-4.047581e-01,2.357859,-1.680408,EXPECTED
5PR12,360,6.15932812,360,11.45688762,-6.206234e-01,2.316817,-2.286568,EXPECTED
5PR25/2,375,6.01128592,375,11.37943368,-6.381690e-01,2.284619,-2.349691,EXPECTED
5PR13,390,6.57136743,390,11.94264081,-5.973933e-01,2.255158,-2.381773,EXPECTED
5PR27/2,405,6.06725959,405,11.22151272,-6.149257e-01,2.227962,-2.313439,EXPECTED
7PR2,420,7.99188162,420,12.71699187,-4.645128e-01,2.218142,-2.130211,EXPECTED
5PR29/2,435,7.48402071,435,11.34363880,-4.158870e-01,2.197406,-1.756443,EXPECTED
5PR15,462,7.49643810,450,11.00718112,-3.841199e-01,2.171304,-1.616882,EXPECTED
5PR31/2,465,7.47988224,465,11.19917105,-4.036227e-01,2.156722,-1.724510,EXPECTED
5PR16,483,6.65597280,480,10.88565763,-4.919315e-01,2.133542,-1.982471,EXPECTED
