START,n_1,C_max,Npred_0,CboundMax,Lambda_max,Jitter,JitterRatio,Status
4,4,3.84362411,4,3.84362411,0.000000e+00,3.843624,0.000000,EXACT
5,5,2.59029039,5,5.18058079,-6.931472e-01,2.935933,-0.882272,EXPECTED
6,6,3.21040200,6,6.42080399,-6.931472e-01,3.648593,-0.879901,EXPECTED
8,8,2.16203856,8,8.51386899,-1.370645e+00,2.591698,-2.450837,EXPECTED
9,9,3.86223667,9,9.65559169,-9.162907e-01,2.365004,-2.449617,EXPECTED
10,10,2.12075924,10,9.89295630,-1.540049e+00,2.597257,-2.992464,EXPECTED
11,11,1.91663391,11,8.94171236,-1.540157e+00,2.393118,-2.935534,EXPECTED
12,12,5.29265234,12,11.25302722,-7.543177e-01,2.242348,-2.658095,EXPECTED
13,13,1.64474130,13,8.42614520,-1.633756e+00,2.125395,-3.190656,EXPECTED
14,14,3.09538826,14,8.55810503,-1.016965e+00,2.031333,-2.689228,EXPECTED
5PR/2,27,5.43127032,15,12.94752723,-8.687318e-01,1.635942,-4.594452,EXPECTED
5PR,42,5.92674056,30,12.15049585,-7.178956e-01,1.398931,-4.448937,EXPECTED
5PR3/2,45,6.62431054,45,11.99239160,-5.935261e-01,1.298123,-4.135264,EXPECTED
5PR2,60,7.52654005,60,11.99117204,-4.657353e-01,1.219998,-3.659540,EXPECTED
5PR5/2,75,6.50945205,75,11.97633850,-6.096776e-01,1.168489,-4.678595,EXPECTED
5PR3,90,6.83708395,90,12.07129455,-5.684690e-01,1.132655,-4.621187,EXPECTED
7PR/2,105,8.18241996,105,13.70802782,-5.159937e-01,1.106987,-4.991574,EXPECTED
5PR4,120,6.61156073,120,12.20631899,-6.131340e-01,1.088364,-5.140521,EXPECTED
5PR9/2,135,6.87477733,135,12.17928008,-5.718769e-01,1.074867,-4.935032,EXPECTED
5PR5,150,7.55081686,150,11.97291566,-4.609913e-01,1.065242,-4.151262,EXPECTED
5PR11/2,165,7.80346860,165,12.62868020,-4.814021e-01,1.058629,-4.557982,EXPECTED
5PR6,189,6.46492042,180,11.60827145,-5.853272e-01,1.054420,-4.877896,EXPECTED
5PR13/2,195,7.62638382,195,12.15367428,-4.660177e-01,1.050061,-4.311455,EXPECTED
7PR,210,8.47157302,210,12.88838513,-4.196103e-01,1.049798,-4.207297,EXPECTED
5PR15/2,231,7.08610300,225,11.21535109,-4.591479e-01,1.050651,-3.930181,EXPECTED
5PR8,240,7.16488512,240,11.08891443,-4.367539e-01,1.037532,-3.782080,EXPECTED
5PR17/2,255,7.67640042,255,11.53133707,-4.069176e-01,1.003004,-3.843391,EXPECTED
5PR9,273,7.30015233,270,10.92338452,-4.030106e-01,0.974932,-3.716395,EXPECTED
5PR19/2,285,6.85530843,285,11.28983149,-4.988791e-01,0.947987,-4.677831,EXPECTED
5PR10,300,6.86153383,300,10.76704245,-4.505588e-01,0.934634,-4.178650,EXPECTED
7PR3/2,315,8.44418898,315,12.26554136,-3.733153e-01,0.917459,-4.165148,EXPECTED
5PR11,330,8.18612235,330,11.49073821,-3.391010e-01,0.897443,-3.682257,EXPECTED
5PR23/2,345,7.70716244,345,10.94421105,-3.506606e-01,0.873489,-3.705884,EXPECTED
5PR12,360,7.69916015,360,10.52598756,-3.127360e-01,0.854870,-3.306734,EXPECTED
5PR25/2,375,7.06606795,375,10.48015890,-3.941797e-01,0.834915,-4.089148,EXPECTED
5PR13,390,7.86627777,390,11.12538615,-3.466446e-01,0.816811,-3.990040,EXPECTED
5PR27/2,405,7.07547171,405,10.37838516,-3.830912e-01,0.801626,-4.120267,EXPECTED
7PR2,420,8.77125227,420,11.89902078,-3.049765e-01,0.788758,-3.965435,EXPECTED
5PR29/2,435,7.65537202,435,10.58080236,-3.236336e-01,0.772172,-3.788573,EXPECTED
5PR15,450,7.82003745,462,10.25620675,-2.711937e-01,0.757935,-3.214219,EXPECTED
5PR31/2,465,6.95384765,465,10.49716748,-4.118103e-01,0.747647,-4.739295,EXPECTED
5PR16,483,7.09774091,480,10.19588407,-3.622076e-01,0.734775,-4.216452,EXPECTED
5PR33/2,495,7.96480076,495,11.03249056,-3.258127e-01,0.722264,-4.247325,EXPECTED
5PR17,510,7.64347374,510,10.64345376,-3.310929e-01,0.712225,-4.212124,EXPECTED
7PR5/2,525,8.27573308,525,11.65463101,-3.423761e-01,0.701903,-4.813910,EXPECTED
5PR18,540,7.65131467,540,10.07664206,-2.753426e-01,0.692457,-3.502495,EXPECTED
