START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
7PR15/2,1676,2.104753,1669,0.039879,3.966104e+00,1.787094,1.155437e+00,EXPECTED
7PR8,1774,2.019039,1783,0.146311,2.624642e+00,1.789681,1.046403e+00,EXPECTED
7PR17/2,1849,2.204669,1889,0.229037,2.264449e+00,1.793633,1.101469e+00,EXPECTED
7PR9,1966,1.989272,1993,0.315377,1.841755e+00,1.802048,9.288848e-01,EXPECTED
7PR19/2,2029,1.715762,2048,0.386403,1.490732e+00,1.806375,7.359264e-01,EXPECTED
7PR10,2104,2.003507,2203,0.457343,1.477221e+00,1.823506,8.479073e-01,EXPECTED
7PR21/2,2287,1.989104,2309,0.518358,1.344773e+00,1.836587,8.008039e-01,EXPECTED
11PR,2347,2.156625,2411,0.576285,1.319697e+00,1.843189,8.573944e-01,EXPECTED
7PR23/2,2447,2.190317,2503,0.631092,1.244350e+00,1.851094,8.423262e-01,EXPECTED
7PR12,2623,2.363446,2621,0.681042,1.244252e+00,1.814008,9.274513e-01,EXPECTED
7PR25/2,2633,2.168203,2729,0.731129,1.087064e+00,1.770093,8.118636e-01,EXPECTED
7PR13,2809,2.065835,2833,0.772066,9.842197e-01,1.724895,7.500567e-01,EXPECTED
7PR27/2,2909,2.274897,2939,0.813783,1.027996e+00,1.678920,8.702702e-01,EXPECTED
7PR14,2974,2.064698,3041,0.853988,8.828221e-01,1.646501,7.353230e-01,EXPECTED
7PR29/2,3076,1.845344,3137,0.889761,7.294681e-01,1.605763,5.950959e-01,EXPECTED
7PR15,3221,2.107297,3253,0.926782,8.214430e-01,1.581313,7.465410e-01,EXPECTED
7PR31/2,3334,2.210551,3359,0.956163,8.380687e-01,1.534794,8.173006e-01,EXPECTED
7PR16,3386,2.340982,3463,0.986760,8.638989e-01,1.516468,8.930106e-01,EXPECTED
11PR3/2,3559,2.029695,3559,1.016308,6.917091e-01,1.476769,6.862190e-01,EXPECTED
7PR17,3571,2.249487,3673,1.043899,7.677394e-01,1.460228,8.256163e-01,EXPECTED
7PR35/2,3769,1.943543,3779,1.070705,5.961953e-01,1.432931,6.091277e-01,EXPECTED
7PR18,3799,2.075010,3881,1.098543,6.359812e-01,1.404125,6.954274e-01,EXPECTED
7PR37/2,3964,2.216472,3989,1.120518,6.821257e-01,1.383917,7.919218e-01,EXPECTED
7PR19,4051,2.044491,4093,1.144510,5.801723e-01,1.362869,6.603577e-01,EXPECTED
7PR39/2,4153,2.340594,4096,1.164534,6.980837e-01,1.340163,8.775500e-01,EXPECTED
7PR20,4282,2.220909,4297,1.186032,6.273033e-01,1.316533,7.860623e-01,EXPECTED
7PR41/2,4393,2.306710,4409,1.207160,6.475518e-01,1.289921,8.524165e-01,EXPECTED
7PR21,4486,2.143577,4513,1.227092,5.578288e-01,1.277791,7.172417e-01,EXPECTED
7PR43/2,4603,2.102361,4603,1.244503,5.243247e-01,1.264523,6.784044e-01,EXPECTED
11PR2,4651,2.085780,4723,1.262257,5.022415e-01,1.244323,6.618241e-01,EXPECTED
