START,n_0,C_min,Npred_0,CboundMin,Lambda_min,Jitter,JitterRatio,Status
9,9,3.862237,9,0.322681,2.482338e+00,2.365004,1.496638e+00,EXPECTED
12,12,5.292652,12,0.536634,2.288758e+00,2.242348,2.120999e+00,EXPECTED
7PR3/2,316,1.821502,317,0.043175,3.742155e+00,0.917459,1.938318e+00,EXPECTED
5PR11,334,2.192816,331,0.088187,3.213482e+00,0.897443,2.345139e+00,EXPECTED
5PR23/2,346,2.136303,349,0.153205,2.635055e+00,0.873489,2.270318e+00,EXPECTED
5PR12,361,2.491896,373,0.210681,2.470454e+00,0.854870,2.668493e+00,EXPECTED
5PR25/2,389,2.364384,383,0.249148,2.250226e+00,0.834915,2.533475e+00,EXPECTED
5PR13,404,2.490536,401,0.304876,2.100348e+00,0.816811,2.675845e+00,EXPECTED
5PR27/2,419,2.617346,409,0.338815,2.044462e+00,0.801626,2.842387e+00,EXPECTED
7PR2,433,2.371783,421,0.373471,1.848557e+00,0.788758,2.533492e+00,EXPECTED
5PR29/2,439,2.172389,439,0.410967,1.665070e+00,0.772172,2.281126e+00,EXPECTED
5PR15,451,2.484088,461,0.455105,1.697133e+00,0.757935,2.676988e+00,EXPECTED
5PR31/2,466,2.603518,467,0.476591,1.697960e+00,0.747647,2.844828e+00,EXPECTED
5PR16,491,2.170204,491,0.516562,1.435381e+00,0.734775,2.250542e+00,EXPECTED
5PR33/2,496,2.158537,503,0.538185,1.388984e+00,0.722264,2.243435e+00,EXPECTED
5PR17,514,2.425229,512,0.558725,1.468024e+00,0.712225,2.620666e+00,EXPECTED
7PR5/2,526,2.224923,526,0.597569,1.314608e+00,0.701903,2.318488e+00,EXPECTED
5PR18,548,2.471090,541,0.617400,1.386898e+00,0.692457,2.676975e+00,EXPECTED
5PR37/2,556,2.138928,569,0.645897,1.197420e+00,0.681711,2.190123e+00,EXPECTED
5PR19,571,2.250802,571,0.661423,1.224648e+00,0.673742,2.359032e+00,EXPECTED
5PR39/2,593,2.479793,587,0.687454,1.282935e+00,0.663906,2.699688e+00,EXPECTED
5PR20,601,2.459414,601,0.706532,1.247310e+00,0.656595,2.669655e+00,EXPECTED
5PR41/2,619,2.264139,619,0.730338,1.131442e+00,0.647550,2.368622e+00,EXPECTED
7PR3,631,2.515024,631,0.742990,1.219355e+00,0.640815,2.765282e+00,EXPECTED
5PR43/2,653,2.451200,647,0.764913,1.164571e+00,0.632466,2.666210e+00,EXPECTED
5PR22,661,2.293985,661,0.783273,1.074564e+00,0.625453,2.415389e+00,EXPECTED
5PR45/2,677,2.655002,677,0.801214,1.198073e+00,0.618503,2.997217e+00,EXPECTED
5PR23,694,2.475723,701,0.818157,1.107234e+00,0.611994,2.708468e+00,EXPECTED
5PR47/2,706,1.932420,709,0.832678,8.418814e-01,0.604655,1.818793e+00,EXPECTED
5PR24,724,2.401837,733,0.852689,1.035594e+00,0.596940,2.595149e+00,EXPECTED
7PR7/2,736,2.497206,739,0.865511,1.059608e+00,0.591981,2.756330e+00,EXPECTED
5PR25,757,2.448382,751,0.876121,1.027678e+00,0.587794,2.674850e+00,EXPECTED
5PR51/2,772,2.412496,769,0.894138,9.925570e-01,0.580786,2.614316e+00,EXPECTED
5PR26,787,2.261955,787,0.905759,9.152115e-01,0.574648,2.360046e+00,EXPECTED
5PR53/2,802,2.347371,797,0.915066,9.420551e-01,0.571015,2.508349e+00,EXPECTED
5PR27,811,2.444106,811,0.927722,9.687026e-01,0.566062,2.678830e+00,EXPECTED
5PR55/2,829,2.750946,829,0.940127,1.073685e+00,0.561121,3.227145e+00,EXPECTED
7PR4,841,2.494510,853,0.955929,9.591640e-01,0.556135,2.766560e+00,EXPECTED
5PR57/2,859,2.120215,863,0.965008,7.871364e-01,0.551302,2.095416e+00,EXPECTED
5PR29,877,2.529782,881,0.975714,9.527189e-01,0.545575,2.848496e+00,EXPECTED
5PR59/2,892,2.389002,887,0.983332,8.876842e-01,0.542550,2.590858e+00,EXPECTED
5PR30,907,2.469201,911,0.996744,9.071559e-01,0.537140,2.741291e+00,EXPECTED
5PR61/2,916,2.557395,919,1.005310,9.336932e-01,0.533715,2.908078e+00,EXPECTED
5PR31,944,2.604008,941,1.017748,9.394595e-01,0.528722,3.000178e+00,EXPECTED
7PR9/2,958,2.578016,953,1.019940,9.272763e-01,0.526452,2.959578e+00,EXPECTED
5PR32,971,2.653928,971,1.033017,9.435572e-01,0.521183,3.110061e+00,EXPECTED
5PR65/2,982,2.428988,977,1.039352,8.488773e-01,0.518621,2.679483e+00,EXPECTED
5PR33,997,2.403811,991,1.046863,8.312573e-01,0.515509,2.632249e+00,EXPECTED
5PR67/2,1009,2.382122,1009,1.057664,8.119290e-01,0.511110,2.591337e+00,EXPECTED
5PR34,1024,2.159339,1024,1.063261,7.084616e-01,0.507550,2.159547e+00,EXPECTED
5PR69/2,1039,2.526535,1039,1.070754,8.584857e-01,0.504449,2.885883e+00,EXPECTED
7PR5,1063,2.578666,1051,1.077374,8.727456e-01,0.501730,2.992231e+00,EXPECTED
5PR71/2,1069,2.567684,1069,1.087016,8.595680e-01,0.497753,2.974704e+00,EXPECTED
5PR36,1087,2.443828,1091,1.095352,8.024899e-01,0.494235,2.728411e+00,EXPECTED
5PR73/2,1109,2.406940,1097,1.100403,7.826798e-01,0.492134,2.654840e+00,EXPECTED
5PR37,1114,2.490995,1123,1.110219,8.081249e-01,0.488032,2.829273e+00,EXPECTED
5PR75/2,1126,2.196286,1129,1.112241,6.803909e-01,0.485955,2.230752e+00,EXPECTED
5PR38,1142,2.537361,1151,1.120641,8.172237e-01,0.483401,2.930735e+00,EXPECTED
11PR/2,1213,2.425805,1249,1.127849,7.658511e-01,0.479383,2.707555e+00,EXPECTED
7PR6,1336,2.178634,1361,1.166232,6.249200e-01,0.462591,2.188547e+00,EXPECTED
7PR13/2,1468,2.256079,1451,1.196580,6.341609e-01,0.447089,2.369772e+00,EXPECTED
7PR7,1546,2.243897,1559,1.223499,6.064993e-01,0.433666,2.352958e+00,EXPECTED
7PR15/2,1609,2.388505,1663,1.247115,6.498348e-01,0.421377,2.708715e+00,EXPECTED
7PR8,1753,2.371121,1783,1.268115,6.258313e-01,0.409909,2.690856e+00,EXPECTED
7PR17/2,1816,2.501503,1801,1.282309,6.682294e-01,0.401498,3.036613e+00,EXPECTED
7PR9,1951,2.491569,1931,1.297373,6.525712e-01,0.392249,3.044484e+00,EXPECTED
7PR19/2,2029,2.361029,2048,1.309635,5.893491e-01,0.385125,2.730007e+00,EXPECTED
7PR10,2147,2.432338,2179,1.320161,6.110992e-01,0.377540,2.945852e+00,EXPECTED
7PR21/2,2287,2.426640,2293,1.327468,6.032342e-01,0.371646,2.957578e+00,EXPECTED
11PR,2344,2.486771,2311,1.333897,6.228803e-01,0.365871,3.151040e+00,EXPECTED
7PR23/2,2446,2.459575,2437,1.339205,6.079124e-01,0.360465,3.108124e+00,EXPECTED
7PR12,2539,2.390593,2609,1.344760,5.753259e-01,0.355502,2.941848e+00,EXPECTED
7PR25/2,2719,2.364339,2711,1.348074,5.618216e-01,0.350655,2.898191e+00,EXPECTED
7PR13,2734,2.260108,2731,1.350104,5.152310e-01,0.346678,2.624926e+00,EXPECTED
7PR27/2,2866,2.498550,2857,1.351870,6.142217e-01,0.342011,3.352758e+00,EXPECTED
7PR14,2974,2.384523,3037,1.352883,5.667612e-01,0.336812,3.062955e+00,EXPECTED
7PR29/2,3076,2.409724,3109,1.353235,5.770142e-01,0.335582,3.148229e+00,EXPECTED
7PR15,3169,2.398188,3253,1.352223,5.729635e-01,0.329654,3.172918e+00,EXPECTED
7PR31/2,3316,2.559556,3359,1.350429,6.394115e-01,0.326843,3.699412e+00,EXPECTED
7PR16,3463,2.515341,3463,1.349118,6.229573e-01,0.324266,3.596501e+00,EXPECTED
11PR3/2,3559,2.463021,3529,1.346519,6.038659e-01,0.322036,3.467010e+00,EXPECTED
