START,n_1,C_max,Npred_1,Cpred_max,Lambda_max
4,4,3.843624,4,2.870137,2.920559e-01
5,5,2.590290,5,4.266093,-4.989285e-01
6,6,3.210402,6,5.413807,-5.225564e-01
8,8,2.162039,8,2.814638,-2.637820e-01
9,9,3.862237,9,5.820367,-4.101169e-01
10,10,2.120759,10,3.855372,-5.976934e-01
11,11,1.916634,11,3.298236,-5.428172e-01
12,12,5.292652,12,5.894830,-1.077562e-01
13,13,1.644741,13,3.284626,-6.916698e-01
14,14,3.095388,14,3.587093,-1.474287e-01
5PR/2,27,5.431270,15,8.114363,-4.014626e-01
5PR,42,5.926741,30,7.739328,-2.668404e-01
5PR3/2,45,6.624311,45,7.777512,-1.604902e-01
5PR2,60,7.526540,60,7.858141,-4.311457e-02
5PR5/2,75,6.509452,75,7.831655,-1.849185e-01
5PR3,90,6.837084,90,7.866793,-1.402891e-01
7PR/2,105,8.182420,105,9.402392,-1.389761e-01
5PR4,120,6.611561,120,7.794788,-1.646356e-01
5PR9/2,135,6.874777,135,7.826435,-1.296479e-01
5PR5,150,7.550817,150,7.839611,-3.753341e-02
5PR11/2,165,7.803469,165,8.682382,-1.067276e-01
5PR6,189,6.464920,180,7.823636,-1.907587e-01
5PR13/2,195,7.626384,195,8.510504,-1.096874e-01
7PR,210,8.471573,210,9.370278,-1.008265e-01
5PR15/2,231,7.086103,231,7.792741,-9.505708e-02
5PR8,240,7.164885,240,7.794678,-8.424920e-02
5PR17/2,255,7.676400,255,8.326601,-8.130460e-02
5PR9,273,7.300152,270,7.810070,-6.751877e-02
5PR19/2,285,6.855308,285,8.250228,-1.852175e-01
5PR10,300,6.861534,300,7.795218,-1.275795e-01
7PR3/2,315,8.444189,315,9.364004,-1.033944e-01
5PR11,330,8.186122,330,8.646622,-5.472838e-02
5PR23/2,345,7.707162,345,8.160120,-5.710878e-02
5PR12,360,7.699160,360,7.791264,-1.189182e-02
5PR25/2,375,7.066068,375,7.797388,-9.848465e-02
5PR13,390,7.866278,390,8.485578,-7.578301e-02
5PR27/2,405,7.075472,405,7.784048,-9.544239e-02
7PR2,420,8.771252,420,9.342456,-6.308961e-02
5PR29/2,435,7.655372,435,8.059904,-5.149397e-02
5PR15,450,7.820037,462,7.775589,5.700106e-03
5PR31/2,465,6.953848,465,8.046026,-1.458832e-01
5PR16,483,7.097741,480,7.778715,-9.161462e-02
5PR33/2,495,7.964801,495,8.647421,-8.222924e-02
5PR17,510,7.643474,510,8.285307,-8.063155e-02
7PR5/2,525,8.275733,525,9.325455,-1.194202e-01
5PR18,540,7.651315,540,7.771819,-1.562676e-02
5PR37/2,555,7.496316,555,7.997298,-6.469199e-02
5PR19,570,8.113520,570,8.217928,-1.278631e-02
5PR39/2,585,8.104752,585,8.470416,-4.412914e-02
5PR20,600,7.242603,600,7.764966,-6.964133e-02
5PR41/2,615,7.252065,615,7.967000,-9.402171e-02
7PR3,630,8.952954,630,9.306315,-3.870966e-02
5PR43/2,645,7.696772,645,7.947224,-3.202164e-02
5PR22,660,8.105611,660,8.620325,-6.156620e-02
5PR45/2,675,7.583588,675,7.760787,-2.309730e-02
5PR23,690,7.590332,690,8.130510,-6.874829e-02
5PR47/2,705,7.093097,705,7.923927,-1.107649e-01
5PR24,720,6.981701,720,7.751864,-1.046407e-01
7PR7/2,735,8.374191,735,9.304884,-1.053850e-01
5PR25,750,7.519965,750,7.754160,-3.066801e-02
5PR51/2,765,7.894537,765,8.273267,-4.685848e-02
5PR26,780,8.030257,780,8.449863,-5.093372e-02
5PR53/2,795,7.679514,795,7.899597,-2.825544e-02
5PR27,819,7.047245,810,7.747725,-9.476253e-02
5PR55/2,825,8.167966,825,8.610611,-5.277543e-02
7PR4,840,8.965600,840,9.299423,-3.655724e-02
5PR57/2,855,8.398778,855,8.207164,2.307889e-02
5PR29,870,7.856733,870,8.028351,-2.160823e-02
5PR59/2,885,7.428246,885,7.879128,-5.892750e-02
5PR30,900,7.550304,900,7.743229,-2.523099e-02
5PR61/2,915,7.678523,915,7.876039,-2.539789e-02
5PR31,930,7.690060,930,8.011722,-4.097713e-02
7PR9/2,945,8.846546,945,9.295325,-4.948447e-02
5PR32,960,7.721851,960,7.737287,-1.996975e-03
5PR65/2,975,8.038814,975,8.442224,-4.896426e-02
5PR33,990,7.954896,990,8.598435,-7.779262e-02
5PR67/2,1005,7.665673,1005,7.858996,-2.490654e-02
5PR34,1020,7.678569,1020,8.255749,-7.247652e-02
5PR69/2,1035,7.504353,1035,8.101214,-7.653069e-02
7PR5,1050,8.772531,1050,9.279432,-5.617494e-02
5PR71/2,1065,7.343499,1065,7.846181,-6.621143e-02
5PR36,1092,7.493320,1080,7.733939,-3.160643e-02
5PR73/2,1095,7.384259,1095,7.844045,-6.040408e-02
5PR37,1110,7.955973,1110,7.955912,7.655913e-06
5PR75/2,1125,7.325891,1125,7.736009,-5.447113e-02
5PR38,1140,7.712968,1140,8.183053,-5.916233e-02
11PR/2,1155,9.613311,1155,10.306033,-6.958082e-02
7PR6,1260,9.181840,1260,9.269825,-9.536959e-03
7PR13/2,1365,9.446163,1365,10.107905,-6.770915e-02
7PR7,1470,8.714436,1470,9.260148,-6.073909e-02
7PR15/2,1575,9.562466,1575,9.255961,3.257779e-02
7PR8,1680,8.840903,1680,9.250831,-4.532438e-02
7PR17/2,1785,9.359210,1785,9.863277,-5.245752e-02
