START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,Align,Cpred,n_v,Calign_min,n_u,Calign_max,n_a,Cbound
4,4,0.000000,4,2.640647,4,0.00000000,4,2.64064726,4,0.000000000,2.640647263,0.000000,0.000000,4,0.000000,4,0.000000,4,0.000000
5,5,0.000000,5,3.520863,5,0.00000000,5,3.52086302,5,0.000000000,3.520863018,0.000000,0.000000,5,0.000000,5,0.000000,5,0.000000
6,6,0.000000,6,5.281295,6,0.00000000,6,5.28129453,6,0.000000000,5.281294527,0.000000,0.000000,6,0.000000,6,0.000000,6,0.000000
7,7,0.000000,7,3.168777,7,0.00000000,7,3.16877672,7,0.000000000,3.168776716,0.000000,0.000000,7,0.000000,7,0.000000,7,0.000000
8,8,0.000000,8,2.640647,8,0.00000000,8,2.64064726,8,0.000000000,2.640647263,0.000000,0.000000,8,0.000000,8,0.000000,8,0.000000
9,9,0.000000,9,5.281295,9,0.00000000,9,5.28129453,9,0.000000000,5.281294527,0.000000,0.000000,9,0.000000,9,0.000000,9,0.000000
10,10,0.000000,10,3.520863,10,0.00000000,10,3.52086302,10,0.000000000,3.520863018,0.000000,0.000000,10,0.000000,10,0.000000,10,0.000000
11,11,0.000000,11,2.934053,11,0.00000000,11,2.93405251,11,0.000000000,2.934052515,0.000000,0.000000,11,0.000000,11,0.000000,11,0.000000
12,12,0.000000,12,5.281295,12,0.00000000,12,5.28129453,12,0.000000000,5.281294527,0.000000,0.000000,12,0.000000,12,0.000000,12,0.000000
13,13,0.000000,13,2.880706,13,0.00000000,13,2.88070611,13,0.000000000,2.880706106,0.000000,0.000000,13,0.000000,13,0.000000,13,0.000000
14,14,0.000000,14,3.168777,14,0.00000000,14,3.16877672,14,0.000000000,3.168776716,0.000000,0.000000,14,0.000000,14,0.000000,14,0.000000
5PR/2,29,0.000000,16,2.640647,15,0.00000000,15,7.04172604,21,0.000000000,3.933772196,0.000000,0.000000,29,0.000000,29,0.000000,29,0.000000
5PR,44,0.000000,32,2.640647,30,0.00000000,30,7.04172604,36,0.000000000,4.005637825,0.000000,0.000000,44,0.000000,44,0.000000,44,0.000000
5PR3/2,59,0.000000,59,2.686974,45,0.00000000,45,7.04172604,52,0.000000000,3.937627745,0.000000,0.000000,59,0.000000,59,0.000000,59,0.000000
5PR2,74,0.000000,64,2.640840,72,36.57974619,60,7.04172604,67,2.438649746,3.983832900,0.000000,0.000000,74,0.000000,72,41.861336,74,0.000000
5PR5/2,89,0.000000,89,2.671000,75,0.00000000,75,7.04172604,82,0.000000000,3.990644786,0.000000,0.000000,89,0.000000,84,45.601884,89,0.000000
5PR3,104,0.000000,103,2.666792,102,42.78074705,90,7.04196219,97,2.852049803,3.967500275,0.000000,0.000000,104,0.000000,102,48.414270,104,0.000000
7PR/2,119,0.000000,113,2.664437,108,43.84470566,105,8.45007124,112,2.922980377,4.052009458,0.000000,0.000000,119,0.000000,105,51.768765,119,0.000000
5PR4,134,0.000000,128,2.640687,129,23.61777661,120,7.04184952,127,1.574518440,3.985851741,0.000000,0.000000,134,0.000000,126,53.116817,134,0.000000
5PR9/2,149,0.000000,149,2.658726,138,24.27782888,135,7.04210540,142,1.618521925,3.969303125,0.000000,0.000000,149,0.000000,147,31.242253,149,0.000000
5PR5,164,0.000000,163,2.657143,150,25.10646605,150,7.04180096,157,1.673764403,3.950658326,0.000000,0.000000,164,0.000000,150,32.148267,164,0.000000
5PR11/2,179,0.000000,179,2.655642,165,26.07067918,165,7.82440930,172,1.738045279,4.027928389,0.000000,0.000000,179,0.000000,165,33.895088,179,0.000000
5PR6,193,0.000000,193,2.654537,180,26.96680086,180,7.04177595,187,4.259635042,3.968690254,0.000000,0.000000,194,0.000000,180,34.008577,194,0.000000
5PR13/2,209,0.000000,199,2.654112,198,18.64384546,195,7.68206527,202,3.716834973,4.019784164,0.000000,0.000000,209,0.000000,195,26.218415,209,0.000000
7PR,224,0.000000,223,2.652643,210,0.00000000,210,8.45028395,217,0.000000000,4.016413666,0.000000,0.000000,224,0.000000,210,27.511323,224,0.000000
5PR15/2,239,0.000000,239,2.651829,236,19.90230533,231,7.04184085,232,7.877342769,4.010254226,0.000000,0.000000,239,0.000000,231,26.788471,239,0.000000
5PR8,253,0.000000,251,2.651288,254,20.44138052,240,7.04185793,247,2.697754391,3.974031521,0.000000,0.000000,254,0.000000,240,27.066793,254,0.000000
5PR17/2,269,0.000000,256,2.640690,267,15.60867379,255,7.51127287,262,3.110465293,3.972681404,0.000000,0.000000,269,0.000000,255,27.981674,269,0.000000
5PR9,284,0.000000,283,2.650114,282,15.91555770,270,7.04182772,277,6.320274160,3.993672178,0.000000,0.000000,284,0.000000,270,22.712992,284,0.000000
5PR19/2,299,0.000000,293,2.649786,285,0.00000000,285,7.45613636,292,0.000000000,4.033504932,0.000000,0.000000,299,0.000000,285,23.431453,299,0.000000
5PR10,313,0.000000,313,2.649193,314,16.52775985,300,7.04180665,307,4.393902308,3.943667386,0.000000,0.000000,314,0.000000,300,23.308374,314,0.000000
7PR3/2,329,0.000000,317,2.649084,315,16.54604598,315,8.45024503,322,1.103069732,4.027657197,0.000000,0.000000,329,0.000000,315,24.996291,329,0.000000
