START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
4,4,3.843624,4,2.870137,4,3.84362411,4,2.87013699,4,3.843624111,2.870136988,4,0.000000,4,7.49306872,4,0.000000,4,8.46686024
5,5,2.590290,5,4.266093,5,2.59029039,5,4.26609329,5,2.590290394,4.266093288,5,1.114773,5,7.41741394,5,0.000000,5,9.21049325
6,6,3.210402,6,5.413807,6,3.21040200,6,5.41380731,6,3.210401996,5.413807307,6,0.417230,6,10.41038476,6,0.000000,6,11.52081307
7,7,0.000000,7,3.393036,7,0.00000000,7,3.39303648,7,0.000000000,3.393036479,7,0.000000,7,7.25644045,7,0.000000,7,8.36966390
8,8,2.162039,8,2.814638,8,2.16203856,8,2.81463781,8,2.162038563,2.814637805,8,0.652599,8,4.97667637,8,0.000000,8,7.47960074
9,9,4.827796,9,5.820367,9,4.82779584,9,5.82036707,9,4.827795843,5.820367067,9,1.486689,9,10.15404479,9,0.000000,9,11.81653777
10,10,2.120759,10,3.855372,10,2.12075924,10,3.85537204,10,2.120759244,3.855372038,10,0.634184,10,7.07656009,10,0.000000,10,9.86658338
11,11,0.000000,11,3.097468,11,0.00000000,11,3.09746822,11,0.000000000,3.097468223,11,0.000000,11,7.28057986,11,0.000000,11,8.53683928
12,12,4.116507,12,5.565937,12,4.11650737,12,5.56593708,12,4.116507372,5.565937077,12,1.228807,12,9.90306707,12,0.000000,12,11.20094442
13,13,2.192988,13,3.090238,13,2.19298840,13,3.09023772,13,2.192988402,3.090237720,13,0.897249,13,5.28322612,13,0.000000,13,8.71571346
14,14,1.989892,14,3.390541,14,1.98989245,14,3.39054128,14,1.989892454,3.390541276,14,0.324487,14,6.45659590,14,0.000000,14,9.00321049
5PR/2,19,0.000000,16,2.765142,21,5.56147012,15,7.37996871,21,2.633998469,4.111117136,29,0.000000,15,11.91996073,29,0.000000,15,13.70018937
