START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
4,4,3.843624,4,2.870137,4,3.84362411,4,2.87013699,4,3.843624111,2.870136988,4,0.000000,4,3.84362411,4,0.000000,4,3.84362411
5,5,2.590290,5,4.266093,5,2.59029039,5,4.26609329,5,2.590290394,4.266093288,5,1.330161,5,5.18058079,5,0.000000,5,5.18058079
6,6,3.210402,6,5.413807,6,3.21040200,6,5.41380731,6,3.210401996,5.413807307,6,1.765214,6,6.42080399,6,0.000000,6,6.42080399
7,7,0.000000,7,3.393036,7,0.00000000,7,3.39303648,7,0.000000000,3.393036479,7,0.439593,7,6.34647994,7,0.000000,7,7.57313262
8,8,2.162039,8,2.814638,8,2.16203856,8,2.81463781,8,2.162038563,2.814637805,8,0.222940,8,5.40633584,8,0.000000,8,8.51386899
9,9,3.862237,9,5.820367,9,3.86223667,9,5.82036707,9,3.862236675,5.820367067,9,3.455363,9,8.18537120,9,0.322681,9,9.65559169
10,10,2.120759,10,3.855372,10,2.12075924,10,3.85537204,10,2.120759244,3.855372038,10,1.258115,10,6.45262919,10,0.000000,10,9.89295630
11,11,1.916634,11,3.298236,11,1.91663391,11,3.29823569,11,1.916633913,3.298235690,11,0.905117,11,5.69135401,11,0.000000,11,8.94171236
12,12,5.292652,12,5.894830,12,5.29265234,12,5.89483036,12,5.292652336,5.894830360,12,3.652482,12,8.13717855,12,0.536634,12,11.25302722
13,13,1.644741,13,3.284626,13,1.64474130,13,3.28462635,13,1.644741302,3.284626347,13,1.159231,13,5.41002125,13,0.000000,13,8.42614520
14,14,3.095388,14,3.587093,14,3.09538826,14,3.58709259,14,3.095388262,3.587092590,14,1.555759,14,5.61842595,14,0.000000,14,8.55810503
5PR/2,23,1.228915,29,3.016474,27,5.43127032,15,8.11436270,21,2.898303284,4.410813115,16,0.812488,15,10.06792651,29,0.000000,15,12.94752723
5PR,34,0.956555,32,2.913777,42,5.92674056,30,7.73932759,36,3.133092175,4.455943808,32,1.353292,30,9.34816024,44,0.000000,30,12.15049585
5PR3/2,53,2.199519,47,2.987631,45,6.62431054,45,7.77751201,52,3.612781038,4.371769323,47,1.596932,45,9.19310785,59,0.000000,45,11.99239160
5PR2,67,1.928666,64,2.954059,60,7.52654005,60,7.85814067,67,3.684255969,4.439696214,64,1.691383,60,9.14864711,74,0.000000,60,11.99117204
5PR5/2,79,1.735643,79,2.980314,75,6.50945205,75,7.83165455,82,3.601846895,4.448164523,79,1.772097,75,9.04673369,89,0.000000,75,11.97633850
5PR3,103,1.930851,97,2.962169,90,6.83708395,90,7.86679273,97,3.572360969,4.410207631,97,1.810534,90,9.03187649,104,0.000000,90,12.07129455
7PR/2,116,2.237289,109,2.968810,105,8.18241996,105,9.40239156,112,3.779821867,4.514430113,107,1.835461,105,10.53971867,119,0.000000,105,13.70802782
5PR4,124,2.151399,128,2.928341,120,6.61156073,120,7.79478835,127,3.840300996,4.419923448,128,1.831199,120,8.90565559,134,0.000000,120,12.20631899
5PR9/2,142,1.964818,139,2.958434,135,6.87477733,135,7.82643523,142,3.904773757,4.415256591,137,1.868785,135,8.91344899,149,0.000000,135,12.17928008
5PR5,163,1.789399,157,2.945854,150,7.55081686,150,7.83961053,157,3.855689171,4.382856012,157,1.874872,150,8.91346978,164,0.000000,150,11.97291566
5PR11/2,166,2.118845,167,2.948848,165,7.80346860,165,8.68238232,172,3.901052806,4.472356836,167,1.885785,165,9.74687964,179,0.000000,165,12.62868020
5PR6,181,1.668171,191,2.939699,189,6.46492042,180,7.82363631,187,3.768748122,4.403602662,191,1.884104,180,8.88172947,194,0.000000,180,11.60827145
5PR13/2,199,1.565312,199,2.941545,195,7.62638382,195,8.51050408,202,3.762288585,4.455410104,197,1.887748,195,9.56455628,209,0.000000,195,12.15367428
7PR,214,2.088662,211,2.944011,210,8.47157302,210,9.37027774,217,3.886107477,4.456927863,211,1.892293,210,10.42221585,223,0.000000,210,12.88838513
5PR15/2,229,1.987282,239,2.936427,231,7.08610300,225,7.82223882,232,3.915040915,4.447954859,239,1.885776,225,8.87183677,239,0.000000,225,11.21535109
