FIRST,LAST,Alpha,PreMertens,Mertens,DeltaMertens,n_5precent,NzeroStat,EtaStat
4,111546435,0.0009765625,111512498,0,0.000000,59742208,111514064,0.007676
4,111546435,0.00106494895768,111469532,0,0.000000,54188513,111512498,0.015869
4,111546435,0.00116133507324,109372352,109613477,0.058396,49147745,111469532,0.018778
4,111546435,0.00126644487759,105556148,105764111,0.045734,44572805,105604172,0.028492
4,111546435,0.001381067932,99297428,99791746,0.096924,40420894,103662451,0.006795
4,111546435,0.00150606525919,84700843,84937997,0.042446,36653127,93011768,0.013970
4,111546435,0.00164237581104,78296887,78405373,0.029156,33234172,80607004,0.019601
4,111546435,0.00179102352188,69815183,70038676,0.043155,30131933,75636646,0.016557
4,111546435,0.001953125,73484561,73620566,0.127773,27317248,74097862,0.005516
4,111546435,0.00212989791536,74097862,74444324,0.080115,24763629,74149787,0.058726
4,111546435,0.00232267014649,46229168,46528574,0.057570,22447010,74097862,0.002601
4,111546435,0.00253288975518,41926246,42189997,0.105026,20345931,61389073,0.007697
4,111546435,0.00276213586401,35480609,35870878,0.068037,18439716,39833536,0.013621
4,111546435,0.00301213051837,35480609,35849614,0.055440,16710764,38236591,0.035569
4,111546435,0.00328475162208,35480609,35873053,0.083271,15143002,39813646,0.033458
4,111546435,0.00358204704377,25265521,25276486,0.043753,13720926,27332504,0.000846
4,111546435,0.00390625,23699191,23775286,0.043396,12431616,24333362,0.003985
4,111546435,0.00425979583072,23699191,23879929,0.042563,11262277,25139893,0.028715
4,111546435,0.00464534029298,22187332,22340671,0.017289,10202267,22340671,0.017289
4,111546435,0.00506577951036,20173091,20459074,0.042176,9241026,22187332,0.013895
4,111546435,0.00552427172802,17193173,17390482,0.103087,8369792,20173091,0.017955
4,111546435,0.00602426103675,14077352,14378131,0.063070,7580017,14577527,0.010423
4,111546435,0.00656950324417,14077352,14450707,0.055862,6864142,14638991,0.024813
4,111546435,0.00716409408754,13067672,13481324,0.066309,6215301,17173202,0.050072
4,111546435,0.0078125,9057157,9417181,0.021194,5627264,9159812,0.011142
4,111546435,0.00851959166145,12973039,13050508,0.090449,5094376,13009069,0.077090
4,111546435,0.00929068058596,7238339,7638497,0.016485,4611503,12973039,0.006079
4,111546435,0.0101315590207,6384029,6651937,0.030187,4173988,7216597,0.008751
4,111546435,0.011048543456,5719144,6068224,0.021493,3777603,5744512,0.015045
4,111546435,0.0120485220735,5506681,5771728,0.026958,3418511,6384029,0.026452
4,111546435,0.0131390064883,4540013,4553048,0.072624,3093309,5051327,0.008551
4,111546435,0.0143281881751,4347407,4362716,0.037246,2798680,4774582,0.011659
4,111546435,0.015625,4343501,4362716,0.065480,2531904,5042162,0.019217
4,111546435,0.0170391833229,3936271,3952873,0.013783,2290310,4290386,0.010622
4,111546435,0.0185813611719,3936271,3952873,0.057429,2071485,4328171,0.045007
4,111546435,0.0202631180414,2451667,2468068,0.065506,1873404,3008938,0.018217
4,111546435,0.0220970869121,2451667,2468068,0.093749,1694070,2737006,0.053774
4,111546435,0.024097044147,2324848,2330203,0.054640,1531724,2368547,0.037871
4,111546435,0.0262780129767,1875931,1882459,0.078942,1384770,2324848,0.007527
4,111546435,0.0286563763501,1726924,1742443,0.036204,1251764,1742443,0.036204
4,111546435,0.03125,1665278,1681271,0.085831,1131392,1726924,0.045435
4,111546435,0.0340783666458,1665278,1681271,0.127754,1022497,2006657,0.056839
4,111546435,0.0371627223438,1665278,1681271,0.135617,923937,2620586,0.072703
