alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,111389058,-0.1977572,109861884,-0.17121799
0.0009765625,106373046,-0.19277128,108450888,-0.16937134
0.0009765625,104814231,-0.19008287,104052234,-0.16139887
0.0009765625,100456257,-0.19526723,100130316,-0.15916605
0.0009765625,98984457,-0.19286153,97528728,-0.15775206
0.0009765625,96135402,-0.18444754,94815732,-0.15601863
0.0009765625,92366769,-0.18701255,90223848,-0.15387766
0.0009765625,89540496,-0.19074665,88202598,-0.143468
0.0009765625,84181773,-0.17626248,85818018,-0.14105083
0.0009765625,83021367,-0.18046367,81024207,-0.13892779
0.0009765625,79130451,-0.16556845,80328882,-0.13967565
0.0009765625,76822353,-0.17634475,75119616,-0.14116869
0.0009765625,74174364,-0.17646957,72256314,-0.13529746
0.0009765625,70101834,-0.16313122,69711114,-0.14181143
0.0009765625,68448549,-0.16399323,66356103,-0.12637715
0.0009765625,65287365,-0.16043378,63411909,-0.12959607
0.0009765625,60373302,-0.15649,60048417,-0.13136191
0.0009765625,59073498,-0.16257172,56727327,-0.11887692
0.0009765625,53348466,-0.16216386,56137653,-0.11919096
0.0009765625,52137558,-0.14562351,51817803,-0.11843587
0.0009765625,48778323,-0.14539164,48496401,-0.11601043
0.0009765625,46360779,-0.15390669,45311871,-0.10406949
0.0009765625,43748127,-0.15423762,42212493,-0.11442089
0.0009765625,39981513,-0.15651386,38272134,-0.08301208
0.0009765625,38023056,-0.1413439,35752092,-0.11092489
0.0009765625,34193676,-0.14835611,34896576,-0.08658272
0.0009765625,30888528,-0.1389167,29970963,-0.10160013
0.0009765625,26645412,-0.14600487,27078909,-0.08682254
0.0009765625,23506899,-0.14196362,22988298,-0.1068302
0.0009765625,22302816,-0.15192897,19780371,-0.10506627
0.0009765625,18650346,-0.13952781,17515293,-0.10311754
0.0009765625,15701562,-0.16190107,15866097,-0.11052101
0.0009765625,10845183,-0.17482485,12369234,-0.1156412
0.0009765625,7776276,-0.20166651,10323573,-0.13113552
0.0009765625,4832634,-0.3139165,7100913,-0.16455251
0.0009765625,4666569,-0.33748096,4761921,-0.22655417
0.0009765625,4515696,-0.39204694,4609191,-0.25338334
0.0009765625,4284828,-0.40669158,4383642,-0.26360314
0.0009765625,4105812,-0.36333091,4246614,-0.25931707
0.0009765625,3989882,-0.41728983,3945777,-0.25653139
0.0009765625,3755103,-0.40313351,3813633,-0.24284163
0.0009765625,3656289,-0.3722443,3727998,-0.28134008
0.0009765625,3471336,-0.43160655,3411264,-0.3118688
0.0009765625,3266142,-0.39969165,3277319,-0.28111215
0.0009765625,3022143,-0.45911466,3117852,-0.29213581
0.0009765625,2883261,-0.43614566,2983836,-0.33502416
0.0009765625,2757711,-0.45238084,2819388,-0.27637543
0.0009765625,2521743,-0.46330987,2526591,-0.38626788
0.0009765625,2324163,-0.53137226,2397417,-0.37413745
0.0009765625,2190803,-0.48861032,2156484,-0.25568041
0.0009765625,1953538,-0.52824491,2014309,-0.40234679
0.0009765625,1765088,-0.52952912,1777061,-0.39986685
0.0009765625,1588905,-0.56783775,1604889,-0.44961943
0.0009765625,1517483,-0.57655574,1446614,-0.48399883
0.0009765625,1296259,-0.67298112,1354568,-0.47904426
0.0009765625,1149859,-0.62477796,1075872,-0.49264899
0.0009765625,1033591,-0.61110979,917721,-0.35761172
0.0009765625,768747,-0.63552754,751233,-0.44810837
0.0009765625,660729,-0.61959833,516621,-0.44982771
0.0009765625,357903,-0.50276629,327768,-0.39217551
0.0009765625,252090,-0.79732902,267657,-0.32066916
0.0009765625,236589,-0.81051015,244443,-0.34033928
0.0009765625,224151,-0.76625544,219819,-0.35662317
0.0009765625,215484,-0.88136862,207369,-0.50573806
0.0009765625,202704,-0.85783852,190683,-0.28417324
0.0009765625,184677,-0.80787592,185694,-0.35846023
0.0009765625,174513,-0.93587904,176439,-0.53809275
0.0009765625,156669,-0.88629764,151602,-0.49064321
0.0009765625,143379,-0.85478055,136437,-0.46614801
0.0009765625,133137,-0.82114477,127599,-0.51434775
0.0009765625,117894,-0.8069138,113097,-0.46803133
0.0009765625,103902,-0.90643219,103986,-0.57462185
0.0009765625,91757,-0.84295234,86319,-0.66796829
0.0009765625,65894,-0.96578401,77584,-0.53862816
0.0009765625,60682,-0.92622677,55818,-0.54933621
0.0009765625,44095,-1.08061299,42462,-0.65798631
0.0009765625,29226,-1.00034835,33609,-0.58765327
0.0009765625,14883,-1.01682995,21508,-0.55787304
0.0009765625,14246,-1.53594359,14547,-0.60842453
0.0009765625,12326,-1.51636564,12279,-0.89430931
0.0009765625,11402,-1.49820906,11166,-0.85352392
0.0009765625,10337,-1.47929786,9621,-0.81109408
0.0009765625,9343,-1.45936176,8739,-0.76511361
0.0009765625,7303,-1.34776823,7554,-0.71642014
0.0009765625,6424,-1.25229698,6828,-0.66315287
0.0009765625,5276,-1.1415121,5652,-0.60596415
0.0009765625,4394,-1.02476415,4076,-0.88559021
0.0009765625,2139,-1.07857402,1998,-0.04595282
0.0009765625,1230,-0.06890864,1878,-0.04556843
0.0009765625,1092,-0.06825037,1062,-0.05386534
0.001953125,111521868,-0.1284085,108594603,-0.10452142
0.001953125,107883984,-0.12811458,108256308,-0.09745719
0.001953125,103484868,-0.12906655,104039949,-0.10605353
0.001953125,100322127,-0.12771628,102342873,-0.0888892
0.001953125,98077824,-0.13580273,97651791,-0.1176644
0.001953125,93465927,-0.13595404,94810326,-0.11288992
