alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,111520629,0.2530722,109825287,0.29429945
0.0009765625,107527563,0.2603331,108249141,0.30682991
0.0009765625,103175358,0.24082119,104020527,0.28936901
0.0009765625,99301488,0.2071989,100850409,0.28158778
0.0009765625,99234333,0.24107285,96497973,0.27339352
0.0009765625,94364985,0.24640503,94703466,0.28104957
0.0009765625,92300208,0.20440622,91257738,0.26323534
0.0009765625,89696343,0.21816187,89857251,0.26870418
0.0009765625,84134622,0.22655995,85285794,0.2705473
0.0009765625,83111886,0.20540848,83938569,0.26605704
0.0009765625,79966458,0.21331138,80372622,0.26836944
0.0009765625,75477237,0.19974469,75183537,0.25272521
0.0009765625,72632877,0.2111421,73553337,0.26372147
0.0009765625,71299371,0.21266592,69552483,0.25770781
0.0009765625,66163911,0.210039,67354287,0.24880869
0.0009765625,63311391,0.19891656,64123356,0.242874
0.0009765625,60496722,0.18334936,60910707,0.23275103
0.0009765625,56411916,0.20218842,56893122,0.24045628
0.0009765625,53804751,0.194189,54887151,0.23193563
0.0009765625,51672819,0.20263457,52836498,0.23417275
0.0009765625,47622201,0.20087087,49968831,0.23183082
0.0009765625,44629959,0.18583324,46560657,0.24256764
0.0009765625,41963787,0.17668774,42401502,0.21783073
0.001953125,111366099,0.13278471,109900908,0.15765807
0.001953125,106725957,0.14831719,108294642,0.1671586
0.001953125,104507793,0.14904061,104001417,0.17471067
0.001953125,100642191,0.14980026,101242089,0.17313971
0.001953125,97236243,0.15328147,96489042,0.18020528
0.001953125,94284567,0.15658473,94702023,0.18247111
0.001953125,92957904,0.16379607,90206454,0.19025728
0.001953125,89624691,0.15666864,87984174,0.19625189
0.001953125,86130837,0.17633165,84743646,0.19663513
0.001953125,83086497,0.1806335,83930496,0.21198204
0.001953125,78338598,0.19050365,78051012,0.21942733
0.001953125,77707068,0.21129932,75477348,0.22623932
0.001953125,74542494,0.19718671,71997003,0.23884484
0.001953125,70698342,0.22065342,69549714,0.25750862
0.001953125,68056287,0.22435336,67524366,0.25706157
0.001953125,64644567,0.23028219,62548083,0.27497917
0.001953125,62455926,0.2397884,59628972,0.29133
0.001953125,57126927,0.23251157,56746404,0.26941511
0.001953125,54301962,0.21496725,55835208,0.25817781
0.001953125,50999949,0.22959192,53038557,0.26366351
0.001953125,48688068,0.21533765,49410075,0.25304147
0.001953125,44908305,0.22074538,45413511,0.24605388
0.001953125,42467139,0.20093922,42246054,0.24364088
0.001953125,39793611,0.20309329,38142324,0.2391671
0.001953125,36895287,0.16832303,37741275,0.22184733
0.001953125,33997821,0.1537853,33358299,0.22519351
0.001953125,30408807,0.13876761,30106791,0.22175536
0.001953125,27803688,0.16863037,27036207,0.21063574
0.001953125,22799601,0.16185216,23728419,0.20246276
0.001953125,22407957,0.16378693,21841248,0.20812173
0.001953125,19587381,0.1837296,19338618,0.2109227
0.00390625,111501234,0.05496443,108543219,0.08194043
0.00390625,106662894,0.06171556,106715919,0.08102033
0.00390625,104945199,0.05994131,102577884,0.08143797
0.00390625,100523631,0.07000385,101442162,0.08233016
0.00390625,98850804,0.06851259,97394061,0.08586677
0.00390625,96112887,0.0723504,94978416,0.09318977
0.00390625,91469181,0.07325915,90995277,0.09055622
0.00390625,89704719,0.07681351,87882954,0.09360131
0.00390625,86828673,0.0790869,85071843,0.0958251
0.00390625,83363631,0.08041123,80924373,0.10204481
0.00390625,78564753,0.08653547,79297023,0.0994238
0.00390625,77350026,0.08321885,75312861,0.11308365
0.00390625,74748843,0.09276308,72032844,0.11609973
0.00390625,69858321,0.09616196,69505059,0.12544056
0.00390625,67248597,0.09986106,66348399,0.11928514
0.00390625,64566294,0.09680839,63608103,0.1279859
0.00390625,61260693,0.1135444,59659392,0.13666897
0.00390625,59034957,0.11672112,56701254,0.14596854
0.00390625,54358251,0.12279193,55719963,0.13924585
0.00390625,52113282,0.1344612,51342720,0.1564532
0.00390625,48385077,0.13994978,49351536,0.1617394
0.00390625,44240937,0.14075275,44984856,0.1754122
0.00390625,43941651,0.15432089,42118494,0.18789303
0.00390625,40499082,0.1660896,38083032,0.2134303
0.00390625,37879179,0.18870588,35017722,0.2162475
0.00390625,34200192,0.19854776,32647836,0.24663977
0.00390625,29074617,0.21823729,29966274,0.27381169
0.00390625,28708563,0.20547545,28070757,0.24399674
0.00390625,25325313,0.18751413,24498243,0.22300594
0.00390625,20149272,0.17607096,19682481,0.21374955
0.00390625,17491191,0.16256104,18757167,0.2040384
0.00390625,14870988,0.15101752,14758029,0.18499039
0.00390625,10745394,0.13080635,12464757,0.18858927
0.00390625,9441861,0.15607628,8593398,0.18855492
0.00390625,4527297,0.21157639,4571034,0.2757182
0.00390625,4362996,0.20218317,4423266,0.32307033
0.00390625,4179747,0.2279536,4192914,0.277708
0.00390625,4068207,0.23084786,3924717,0.30742877
0.00390625,3760506,0.16052562,3889710,0.30494115
0.00390625,3640923,0.24315314,3605052,0.38258492
0.00390625,3530241,0.20070967,3402828,0.32201487
0.00390625,3359694,0.2229921,3212847,0.34436192
0.00390625,3179748,0.26172689,3186183,0.35031377
0.0078125,111457872,0.03104814,109243953,0.04247248
0.0078125,106069392,0.03341971,107864166,0.04380236
0.0078125,104198211,0.03252491,103681632,0.04278874
0.0078125,99323289,0.03087568,100817106,0.04226007
0.0078125,98361822,0.03555736,97237491,0.04670883
0.0078125,93977097,0.0354032,94488654,0.04622495
0.0078125,92889051,0.03212295,90421032,0.04675771
0.0078125,89289759,0.03563851,87669192,0.04781042
0.0078125,84953556,0.04137692,85905573,0.048368
0.0078125,81550209,0.03856537,81096237,0.04944557
0.0078125,78817491,0.04211765,80793954,0.05572193
0.0078125,76603287,0.04001156,75648987,0.05370495
0.0078125,72987759,0.04413098,71911359,0.05515267
0.0078125,71330136,0.04450938,69428736,0.05620642
0.0078125,68506092,0.04914717,66018027,0.06288493
0.0078125,64672059,0.0492599,63872679,0.06401542
0.0078125,61393974,0.05014821,60279648,0.06473975
0.0078125,57300009,0.04927052,57142566,0.06908736
0.0078125,54499029,0.05444191,55066323,0.06782993
0.0078125,51929844,0.06046284,50792073,0.07374199
0.0078125,48876165,0.06522084,49582866,0.08024379
0.0078125,46262346,0.06740495,45091770,0.08690036
0.0078125,43834596,0.06758449,41874306,0.08522868
0.0078125,40946217,0.07236588,39554457,0.10067961
0.0078125,36624627,0.08417042,35143641,0.10002177
0.0078125,34143408,0.08084802,32021574,0.11352526
0.0078125,31118217,0.09881195,30027078,0.13047744
0.0078125,27984606,0.11427515,25851267,0.13854109
0.0078125,25325313,0.11753244,23052003,0.15149607
0.0078125,22390992,0.12659771,20143344,0.16984291
0.0078125,19497606,0.15955182,17436414,0.21682688
0.0078125,16282617,0.2033254,14977833,0.22721664
0.0078125,11112321,0.18311162,11592867,0.20378985
0.0078125,8998704,0.15040857,9441861,0.18115222
0.0078125,5034006,0.13526465,4822584,0.18695144
0.0078125,4762173,0.14859318,4711047,0.19658226
0.0078125,4568628,0.15727206,4623747,0.20668612
0.0078125,4310724,0.14996037,4433991,0.22413896
0.0078125,4109586,0.12967301,4184682,0.19333078
0.0078125,3982308,0.14367813,4044216,0.20916343
0.0078125,3742497,0.16053117,3838692,0.2003354
0.0078125,3732417,0.14140759,3595323,0.22228904
0.0078125,3476682,0.13666298,3404724,0.23199951
0.0078125,3258849,0.16320543,3210108,0.2207984
0.0078125,3150537,0.17022894,3195414,0.24774784
0.0078125,2869779,0.16623739,2914593,0.22566962
0.0078125,2719926,0.1710013,2832036,0.23984716
0.0078125,2603952,0.15489847,2651298,0.2350635
0.0078125,2331261,0.16878626,2348313,0.23011155
0.0078125,2227413,0.16063215,2252415,0.25313878
0.0078125,1965834,0.17862997,1999413,0.27384104
0.0078125,1891527,0.20698063,1925979,0.27438595
0.0078125,1753359,0.19461512,1651716,0.29816029
0.0078125,1524003,0.22819417,1515261,0.31861444
0.0078125,1357161,0.21984865,1383477,0.33451329
0.0078125,1199487,0.29297493,1099527,0.40456754
0.0078125,950928,0.31658473,1010841,0.42771587
0.015625,110820288,0.01881625,108596226,0.02448169
0.015625,106582248,0.01859307,107884338,0.02626483
0.015625,105293487,0.01730489,103007412,0.0253825
0.015625,99327972,0.01546179,100972716,0.02493816
0.015625,99124869,0.018519,96417906,0.02480908
0.015625,95790558,0.02013858,93502071,0.02538674
0.015625,92674647,0.02023328,91586511,0.02490203
0.015625,89713896,0.01993932,87675744,0.02571634
0.015625,85804719,0.01982762,84604416,0.02490795
