alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,0.27254,0.01177,-0.18465,0.00915
0.00106494895768,0.26280,-0.19158,,,0.29951,0.01246,-0.19439,0.00890
0.001953125,0.26279,-0.20733,,,0.14608,0.00842,-0.11524,0.00712
0.00390625,0.23051,-0.18092,,,0.06803,0.00661,-0.06038,0.00431
0.0078125,0.21026,-0.15855,,,0.03575,0.00333,-0.03084,0.00339
0.015625,0.19249,-0.14731,,,0.02121,0.00180,-0.01853,0.00136
0.03125,0.19286,-0.14621,,,0.01510,0.00120,-0.01390,0.00126
0.0625,0.17660,-0.12649,,,0.01398,0.00096,-0.01308,0.00052
0.125,0.15403,-0.13246,,,0.01687,0.00050,-0.01690,0.00043
0.25,0.13634,-0.11056,0.01775,-0.01844,0.01153,0.00027,-0.01156,0.00025
0.5,0.13551,-0.11599,0.01559,-0.01641,0.00562,0.00014,-0.00563,0.00017
1.0,0.10054,-0.09715,0.01439,-0.01536,0.00268,0.00012,-0.00296,0.00013
