alpha,L11_lo,L11_hi,L13_lo,L13_hi,Lfinal_lo,Lfinal_lo_std,Lfinal_hi,Lfinal_hi_std
0.0009765625,,,,,,,,
0.00106494895768,,,,,,,,
0.001953125,,,,,,,,
0.00390625,,,,,,,,
0.0078125,,,,,,,-0.34374,0.04182
0.015625,,,,,1.41630,0.01869,-0.23550,0.02861
0.03125,,,,,1.47177,0.09375,-0.17909,0.01382
0.0625,,,,,0.47859,0.03389,-0.15716,0.00925
0.125,0.20521,-0.15839,,,0.20837,0.01322,-0.16197,0.01434
0.25,0.19339,-0.15483,,,0.11188,0.00580,-0.09912,0.00532
0.5,0.17601,-0.13865,,,0.06576,0.00397,-0.05637,0.00411
1.0,0.14420,-0.11577,,,0.04440,0.00206,-0.03344,0.00216
