alpha,n_min_lambda,min_lambda,n_max_lambda,max_lambda
0.0009765625,110485916,0.4588635,109950574,0.5132261
0.0009765625,105523427,0.4847581,108231902,0.5453624
0.0009765625,103662451,0.4712461,103564658,0.5556966
0.0009765625,100708222,0.522793,99752392,0.5745052
0.0009765625,98686388,0.5270252,96506302,0.5969656
0.0009765625,95699629,0.5801467,94712594,0.6260094
0.0009765625,90582049,0.6147216,90324581,0.6790116
0.0009765625,88528171,0.6348212,86675249,0.6772201
0.0009765625,85558852,0.6710266,83817997,0.7223696
0.0009765625,83384006,0.6917317,81112481,0.7737431
0.0009765625,78353413,0.7340324,77384828,0.8065148
0.0009765625,76294202,0.769278,75070466,0.8433471
0.0009765625,74192303,0.8080783,71981974,0.9043877
0.0009765625,70863028,0.8691513,67367051,0.9969189
0.0009765625,66757388,0.9709225,64075348,1.078688
0.0009765625,62940496,1.059126,61926581,1.143557
0.0009765625,60774712,1.171267,58113919,1.272775
0.0009765625,57476366,1.250184,55313938,1.403183
0.0009765625,54863189,1.393163,51893767,1.636391
0.0009765625,51720866,1.610654,47442151,2.118636
0.0009765625,46820353,2.201851,43906558,2.925226
0.0009765625,43873003,3.058814,41633737,7.606689
0.001953125,109160483,0.2131691,109879324,0.2384879
0.001953125,106610362,0.2091141,107079608,0.2489854
0.001953125,104914699,0.2214038,102537713,0.2584526
0.001953125,100600966,0.2287863,99796777,0.2626013
0.001953125,98158948,0.2194042,96217417,0.2679879
0.001953125,94196842,0.2534051,93666031,0.2719282
0.001953125,89929391,0.2483741,90550709,0.2818492
0.001953125,89542363,0.2506105,86569694,0.2976214
0.001953125,84178481,0.2699351,83669431,0.2951605
0.001953125,82308082,0.2626253,81157187,0.3223883
0.001953125,80040634,0.2881075,77762792,0.3187526
0.001953125,77162662,0.2936052,75783847,0.3326774
0.001953125,74097862,0.2889932,72387859,0.3499114
0.001953125,68710997,0.3274164,67249058,0.3907596
0.001953125,66991187,0.3393182,66039997,0.3875835
0.001953125,63618619,0.3533412,62168108,0.3973059
0.001953125,59154176,0.3893225,58686253,0.4258838
0.001953125,56391749,0.3929195,55190579,0.456847
0.001953125,54767627,0.4210268,51983674,0.4853638
0.001953125,51185587,0.4544422,47368474,0.5402955
0.001953125,46226636,0.5345514,44479088,0.5957945
0.001953125,41926246,0.5505906,42335681,0.6413404
0.001953125,40635697,0.6170189,38270941,0.715162
0.001953125,37605572,0.7032482,35334991,0.7903126
0.001953125,34326577,0.7598191,31657442,0.9169542
0.001953125,31479629,0.8643427,28793822,1.071761
0.001953125,28517722,1.093108,25651918,1.334121
0.001953125,25111909,1.324906,22711883,1.81314
0.001953125,22220573,1.808312,19555556,3.301281
0.001953125,19252361,3.735941,18990626,4.527494
0.00390625,109364972,0.1134447,109206221,0.1302362
0.00390625,106782232,0.12193,107311936,0.1424146
0.00390625,103249661,0.1143257,102388771,0.1422596
0.00390625,100465969,0.1212613,102313007,0.1452917
0.00390625,98057387,0.1112169,97753076,0.1455183
0.00390625,93202618,0.1340956,94741498,0.1499229
0.00390625,91288856,0.1321557,92597669,0.1501536
0.00390625,89310544,0.1275987,87873587,0.1624408
0.00390625,84364691,0.1278957,83539369,0.1558007
0.00390625,82355992,0.1321354,82910713,0.1604951
0.00390625,80043577,0.1351198,78489497,0.1600114
0.00390625,76429247,0.147661,75033566,0.1719494
0.00390625,72838936,0.1447011,72459769,0.167084
0.00390625,70990481,0.1628752,67155587,0.1815394
0.00390625,66848702,0.1566107,64317481,0.1853224
0.00390625,61389073,0.1476203,62127314,0.1928241
0.00390625,59250419,0.180067,60690862,0.2051568
0.00390625,57571271,0.1868278,54935794,0.2149806
0.00390625,52757083,0.1911902,52887257,0.2167553
0.00390625,50182798,0.2067075,47370641,0.240065
0.00390625,46198013,0.2196205,44096191,0.2582683
0.00390625,41582059,0.2315867,42206609,0.274893
0.00390625,40029427,0.2548297,38817661,0.288651
0.00390625,36798662,0.2807711,36414779,0.3133136
0.00390625,34221364,0.2919047,32523536,0.3517606
0.00390625,30662083,0.3277266,30089173,0.3819272
0.00390625,28154491,0.3853768,25681358,0.441963
0.00390625,25276486,0.4119684,22792751,0.4977534
0.00390625,22187332,0.4636718,19789213,0.575519
0.00390625,19169123,0.5982178,16618601,0.7212977
0.00390625,15932654,0.7428417,13490212,1.013965
0.00390625,13049012,1.014031,10310089,1.72207
0.00390625,10202219,1.837448,8535356,4.858106
0.00390625,4449271,5.745174,4574509,8.068029
0.00390625,4283954,5.001131,4441993,5.786218
0.00390625,4128346,4.652467,4260376,5.050887
0.00390625,3978703,4.558308,4078951,4.720788
0.00390625,3769637,4.510221,3874564,4.606165
0.00390625,3659197,4.592009,3606269,4.728033
0.00390625,3517952,4.671698,3383339,5.161334
0.00390625,3358666,5.172856,3196553,7.09938
0.00390625,3178276,7.970878,3178276,7.970878
0.0078125,111095528,0.07603407,108984541,0.09762659
0.0078125,106275263,0.08059005,106819978,0.09093962
0.0078125,104814907,0.0667474,105131567,0.09513214
0.0078125,100204939,0.07798433,101473961,0.09895606
0.0078125,98566253,0.08147314,97072513,0.0969907
0.0078125,93707387,0.08007414,94606283,0.1012918
0.0078125,92390656,0.08611876,91071602,0.09672385
0.0078125,88961338,0.08359246,88104932,0.09936002
0.0078125,86082544,0.0846675,86008679,0.09564751
0.0078125,82542742,0.08695553,81079772,0.103692
0.0078125,78838663,0.08647767,77433803,0.09658352
0.0078125,74577656,0.09032979,75801296,0.103882
0.0078125,73989254,0.08609768,73113571,0.1048825
0.0078125,68604968,0.09266039,70192613,0.1076913
0.0078125,65030677,0.09200762,66464081,0.1137963
0.0078125,61491559,0.09498698,63424369,0.1125924
0.0078125,58961204,0.09446379,60337933,0.1188261
0.0078125,57940838,0.0906708,56073656,0.1210135
0.0078125,54099544,0.09583301,53237161,0.1233752
0.0078125,47695783,0.1094355,50077913,0.1240581
0.0078125,46273064,0.1067387,45228538,0.1468507
0.0078125,42697372,0.1221553,42105172,0.1422571
0.0078125,39884272,0.1269406,39421741,0.1529487
0.0078125,36901814,0.140718,36352588,0.1604639
0.0078125,34098934,0.1268255,31697327,0.1665086
0.0078125,31153189,0.1372963,28715851,0.1894769
0.0078125,27323519,0.1568457,25615697,0.2025032
0.0078125,25180261,0.1897766,23222008,0.2236293
0.0078125,22153519,0.2029897,19867447,0.2523897
0.0078125,19153952,0.2413353,16638964,0.3002704
0.0078125,15786299,0.289618,13628302,0.3605667
0.0078125,13067672,0.3532039,10375616,0.487528
0.0078125,10141484,0.4948742,7162396,0.7474398
0.0078125,7027453,0.811856,4805473,1.557402
0.0078125,4772392,1.501156,4636999,1.669508
0.0078125,4618678,1.7107,4465807,1.875653
0.0078125,4408856,1.896122,4278446,2.08139
0.0078125,4238357,2.105651,4088416,2.42545
0.0078125,4066891,2.494082,3904921,3.053755
0.0078125,3889153,3.180819,3727303,6.247042
0.0078125,3545053,4.920637,3615109,9.457728
0.0078125,3372394,3.624481,3529366,4.754083
0.0078125,3184418,3.140109,3357677,3.5705
0.0078125,3045004,2.760494,3171082,3.094795
0.0078125,2839054,2.550371,3000299,2.762905
0.0078125,2683606,2.308097,2810161,2.527847
0.0078125,2477842,2.122155,2595337,2.365168
0.0078125,2325371,2.106354,2448844,2.256633
0.0078125,2127929,2.02559,2265589,2.177269
0.0078125,1963001,1.981216,1999967,2.109328
0.0078125,1912819,1.954685,1756637,2.054355
0.0078125,1720273,1.892829,1679149,2.079133
0.0078125,1525708,2.014715,1434929,2.170242
0.0078125,1343941,2.03727,1227637,2.330834
0.0078125,1189928,2.4712,1022842,3.093111
0.0078125,1014127,3.186659,908318,8.602546
0.015625,111481168,0.06972987,109291502,0.08083382
0.015625,107829586,0.06816536,108301717,0.08082677
0.015625,103572662,0.07408639,103239553,0.08079265
0.015625,100184269,0.06796371,100685779,0.07677838
0.015625,98227361,0.06758321,96296206,0.07955623
0.015625,93047687,0.07038599,94831756,0.07996149
0.015625,91594831,0.06653291,92649254,0.07649639
0.015625,88562879,0.06618765,87368234,0.07772654
0.015625,84425378,0.06478436,84719588,0.07761903
0.015625,82477687,0.06832575,80845231,0.08311058
0.015625,78776323,0.06838004,79896202,0.0786972
0.015625,75418661,0.06023365,76823342,0.07692823
0.015625,72599539,0.06922611,73122319,0.07728199
0.015625,68118623,0.06384708,67291058,0.08118876
0.015625,65163442,0.06608472,65613622,0.08216405
0.015625,63709222,0.06970169,62840422,0.08336137
0.015625,58545719,0.06817207,60031603,0.08299075
0.015625,57719561,0.06942986,56566408,0.083682
0.015625,53648632,0.06790163,52248697,0.0825329
0.015625,47842742,0.07291718,50157706,0.08358595
0.015625,46295203,0.07807853,44526028,0.08873815
0.015625,43156033,0.07406126,41821529,0.0874758
0.015625,40811462,0.08457903,38830658,0.09749396
0.015625,37260731,0.07502138,35865761,0.09783794
0.015625,34522948,0.08221306,32615599,0.1031525
0.015625,31190111,0.08756122,30356023,0.1056701
0.015625,27451514,0.09783669,25533509,0.1110826
0.015625,25112963,0.1006805,23065466,0.1209778
0.015625,22448056,0.1061846,20112704,0.1317441
0.015625,17835578,0.1257219,16693631,0.1497176
0.015625,16167457,0.1333411,13325414,0.168929
0.015625,13153729,0.1508787,10638392,0.2213998
0.015625,9783778,0.2050098,7828507,0.2870817
0.015625,7027453,0.3047687,4815091,0.4912151
0.015625,4730806,0.4607654,4642766,0.5083721
0.015625,4597532,0.489017,4464067,0.5450241
0.015625,4343501,0.4726816,4418434,0.5405132
0.015625,4231454,0.52429,4093013,0.5767257
0.015625,3936271,0.5432861,3992036,0.6022457
0.015625,3786152,0.5840159,3734708,0.6444322
0.015625,3708823,0.6401093,3563267,0.6907729
0.015625,3491869,0.6392377,3381344,0.7243684
0.015625,3338372,0.7027811,3207779,0.7980946
0.015625,3147163,0.7718957,3081739,0.8459719
0.015625,2988283,0.8302987,2824306,0.9355127
0.015625,2804299,0.9303915,2645171,1.041901
0.015625,2637112,1.040184,2469433,1.156442
0.015625,2449693,1.107551,2287477,1.326547
0.015625,2269648,1.367251,2125304,1.557034
0.015625,2091464,1.611221,1924204,2.009762
0.015625,1913854,2.017317,1846462,2.278261
0.015625,1567109,1.84051,1720819,2.056264
0.015625,1389772,1.62873,1552246,1.847858
0.015625,1224277,1.460716,1368904,1.657344
0.015625,1112632,1.356275,1197767,1.537761
0.015625,942836,1.381875,997153,1.442891
0.015625,803039,1.278533,686087,1.467208
0.015625,628151,1.434431,488596,1.722087
0.015625,456656,1.796711,342527,3.856397
0.03125,109291177,0.08242686,111253757,0.08955102
0.03125,107829586,0.082637,107487046,0.08864032
0.03125,103769342,0.08136701,104982211,0.08996005
0.03125,100043122,0.07951099,101233009,0.0862005
0.03125,96438128,0.07971406,96066232,0.08405606
0.03125,93795554,0.07726892,95306654,0.08375252
0.03125,90253964,0.07621299,92162626,0.08227128
0.03125,87008293,0.07371779,89047949,0.08204969
0.03125,84086186,0.07173198,85845719,0.07806131
0.03125,82477687,0.07122089,81399127,0.07765794
0.03125,77423408,0.07271933,79591192,0.07756525
0.03125,75845027,0.06894851,77197007,0.07518422
0.03125,72599539,0.070378,74119421,0.07604008
0.03125,68366206,0.06999747,67605542,0.07751263
0.03125,64246381,0.06493572,67037423,0.07742174
0.03125,62988229,0.06394499,61542098,0.07316494
0.03125,59229202,0.06401753,60776332,0.07274275
0.03125,55143031,0.06664267,56551031,0.07356761
0.03125,53883229,0.0568331,53824642,0.06898659
0.03125,50423077,0.06447585,50139104,0.07095612
0.03125,44145506,0.06455143,45351893,0.07165407
0.03125,43864648,0.05941674,42232796,0.07021533
0.03125,40760326,0.0668308,39737198,0.07510241
0.03125,35953579,0.061469,35999419,0.07294916
0.03125,34470536,0.05450839,32256746,0.07233149
0.03125,31484449,0.06043127,29860618,0.07137505
0.03125,28024574,0.06359998,26328287,0.0786345
0.03125,22944937,0.06792858,23582171,0.07766467
0.03125,21798863,0.06785534,20910502,0.07926465
0.03125,18041308,0.07685646,16847738,0.09124352
0.03125,15168586,0.08177367,14802301,0.09498902
0.03125,13232899,0.08746318,10734197,0.1153397
0.03125,9175489,0.1091408,7193506,0.1422454
0.03125,6372833,0.144676,4815991,0.2322489
0.03125,4658146,0.2076523,4775506,0.2332745
0.03125,4593403,0.2208833,4519664,0.2489433
0.03125,4409063,0.2084667,4365194,0.2411671
0.03125,4230164,0.2240672,4113518,0.2558577
0.03125,4012681,0.2154174,3915676,0.2629389
0.03125,3902887,0.2430549,3728404,0.2838585
0.03125,3554569,0.2573065,3637453,0.2928752
0.03125,3498608,0.2750541,3372359,0.2981548
0.03125,3318779,0.2890979,3252191,0.3235956
0.03125,3178982,0.3140364,3161537,0.3393412
0.03125,2926153,0.3145755,2838256,0.3575563
0.03125,2778121,0.3440871,2716816,0.3835127
0.03125,2620586,0.3505853,2509888,0.4111806
0.03125,2404177,0.3862801,2294353,0.4374318
0.03125,2181689,0.4206348,2213392,0.4708816
0.03125,2006657,0.4835404,1963679,0.5404142
0.03125,1875931,0.5236983,1766339,0.5956102
0.03125,1665278,0.5643139,1614037,0.665684
0.03125,1554347,0.6599263,1398157,0.7904342
0.03125,1373971,0.7894588,1202492,0.9544736
0.03125,1173946,0.9870688,1034827,1.258904
0.03125,1010047,1.322786,926027,1.591932
0.03125,670987,1.223281,840302,1.414897
0.03125,488596,1.022075,628357,1.1931
0.03125,385291,1.015981,329201,1.174525
0.03125,288536,1.037302,247636,1.360845
0.03125,237056,1.251796,233944,1.381825
0.03125,220852,1.31156,225941,1.445354
0.03125,213607,1.33247,204382,1.520126
0.03125,194846,1.396191,196541,1.529728
0.03125,188714,1.469447,177742,1.764776
0.03125,171889,1.637514,162293,1.847898
0.03125,160612,1.780047,148292,2.108323
0.03125,146522,2.112211,135637,2.552847
0.03125,133642,2.719878,120391,4.188143
0.03125,119338,4.582908,118609,5.440272
0.0625,110847098,0.0539393,109068502,0.05837423
0.0625,108213614,0.05628573,106619417,0.06006889
0.0625,104420671,0.05241982,102716506,0.06170412
0.0625,101352367,0.05833886,100642361,0.06397047
0.0625,97720141,0.06028618,96914828,0.06457764
0.0625,94306943,0.06189431,93831779,0.06548115
0.0625,92512297,0.06251249,92069309,0.06820883
0.0625,88419614,0.06476635,87069986,0.06899872
0.0625,86162116,0.06813274,84735997,0.07119984
0.0625,81690548,0.07119796,80686037,0.07454599
0.0625,79043077,0.06927811,78247952,0.077288
0.0625,77191442,0.07170495,75015716,0.0812493
0.0625,71821097,0.07824138,71701286,0.08518164
0.0625,71062487,0.08243341,67549894,0.09050693
0.0625,65435308,0.08583681,65927968,0.09114299
0.0625,62759572,0.08247324,63989344,0.08864758
0.0625,59163704,0.08030968,60559522,0.08543695
0.0625,55867873,0.07888079,57804944,0.08455118
0.0625,53569447,0.0693179,54745822,0.08046342
0.0625,47956901,0.07081111,47528909,0.07750483
0.0625,44156993,0.06884117,46943087,0.07652033
0.0625,41633233,0.06356966,43656478,0.07348829
0.0625,40601446,0.06675211,40518748,0.07450639
0.0625,35953579,0.06178254,37439021,0.07147225
0.0625,33064667,0.05793098,31953452,0.06804451
0.0625,29390443,0.05294048,31469818,0.0681529
0.0625,26126549,0.06030697,27344098,0.06662366
0.0625,24226793,0.05769532,25444763,0.06606484
0.0625,20433563,0.05748694,20800097,0.06498978
0.0625,19263793,0.05476842,18267439,0.0664599
0.0625,15059491,0.06080647,14374159,0.06888258
0.0625,12872239,0.06431362,11045443,0.07579021
