START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
4,4,0.000000,4,2.640647,4,0.00000000,4,2.64064726,4,0.000000000,2.640647263,4,0.000000,4,2.64064726,4,0.000000,4,2.64064726
5,5,0.000000,5,3.520863,5,0.00000000,5,3.52086302,5,0.000000000,3.520863018,5,0.000000,5,3.52086302,5,0.000000,5,3.52086302
6,6,0.000000,6,5.281295,6,0.00000000,6,5.28129453,6,0.000000000,5.281294527,6,0.000000,6,5.28129453,6,0.000000,6,5.28129453
7,7,0.000000,7,3.168777,7,0.00000000,7,3.16877672,7,0.000000000,3.168776716,7,0.000000,7,3.16877672,7,0.000000,7,3.16877672
8,8,0.000000,8,2.640647,8,0.00000000,8,2.64064726,8,0.000000000,2.640647263,8,0.000000,8,2.64064726,8,0.000000,8,2.64064726
9,9,0.000000,9,5.281295,9,0.00000000,9,5.28129453,9,0.000000000,5.281294527,9,0.000000,9,5.28129453,9,0.000000,9,5.28129453
10,10,0.000000,10,3.520863,10,0.00000000,10,3.52086302,10,0.000000000,3.520863018,10,0.000000,10,3.52086302,10,0.000000,10,3.52086302
11,11,0.000000,11,2.934053,11,0.00000000,11,2.93405251,11,0.000000000,2.934052515,11,0.000000,11,2.93405251,11,0.000000,11,2.93405251
12,12,0.000000,12,5.281295,12,0.00000000,12,5.28129453,12,0.000000000,5.281294527,12,0.000000,12,5.28129453,12,0.000000,12,5.28129453
13,13,0.000000,13,2.880706,13,0.00000000,13,2.88070611,13,0.000000000,2.880706106,13,0.000000,13,2.88070611,13,0.000000,13,2.88070611
14,14,0.000000,14,3.168777,14,0.00000000,14,3.16877672,14,0.000000000,3.168776716,14,0.000000,14,3.16877672,14,0.000000,14,3.16877672
5PRD2,29,0.000000,16,2.640647,15,0.00000000,15,7.04172604,21,0.000000000,3.933772196,29,0.000000,15,7.04172604,29,0.000000,15,7.04172604
5PR,44,0.000000,32,2.640647,30,0.00000000,30,7.04172604,36,0.000000000,4.005637825,44,0.000000,30,7.04172604,44,0.000000,30,7.04172604
5PR3D2,59,0.000000,59,2.686974,45,0.00000000,45,7.04172604,52,0.000000000,3.937627745,59,0.000000,45,7.04172604,59,0.000000,45,7.04172604
5PR2,74,0.000000,64,2.640840,72,36.57974619,60,7.04172604,67,2.438649746,3.983832900,74,0.000000,72,55.74136427,74,0.000000,74,63.64681414
5PR5D2,89,0.000000,89,2.671000,75,0.00000000,75,7.04172604,82,0.000000000,3.990644786,89,0.000000,87,60.42982271,89,0.000000,89,68.93939920
5PR3,104,0.000000,103,2.666792,102,42.78074705,90,7.04196219,97,2.852049803,3.967500275,104,0.000000,102,64.61699897,104,0.000000,104,73.82796032
7PRD2,119,0.000000,113,2.664437,108,43.84470566,105,8.45007124,112,2.922980377,4.052009458,119,0.000000,117,67.24963185,119,0.000000,119,78.50323911
5PR4,134,0.000000,128,2.640687,129,23.61777661,120,7.04184952,127,1.574518440,3.985851741,134,0.000000,126,70.30038474,134,0.000000,125,80.19847857
5PR9D2,149,0.000000,149,2.658726,138,24.27782888,135,7.04210540,142,1.618521925,3.969303125,149,0.000000,147,45.09413258,149,0.000000,147,77.14466261
5PR5,164,0.000000,163,2.657143,150,25.10646605,150,7.04180096,157,1.673764403,3.950658326,164,0.000000,162,45.95274646,164,0.000000,162,78.87222892
5PR11D2,179,0.000000,179,2.655642,165,26.07067918,165,7.82440930,172,1.738045279,4.027928389,179,0.000000,177,47.55922836,179,0.000000,165,81.94708559
5PR6,193,0.000000,193,2.654537,180,26.96680086,180,7.04177595,187,4.259635042,3.968690254,194,0.000000,186,48.42217770,194,0.000000,189,84.45566854
5PR13D2,209,0.000000,199,2.654112,198,18.64384546,195,7.68206527,202,3.716834973,4.019784164,209,0.000000,207,38.51126228,209,0.000000,195,64.71910149
7PR,224,0.000000,223,2.652643,210,0.00000000,210,8.45028395,217,0.000000000,4.016413666,224,0.000000,210,39.68676991,224,0.000000,210,67.10180997
5PR15D2,239,0.000000,239,2.651829,236,19.90230533,231,7.04184085,232,7.877342769,4.010254226,239,0.000000,231,40.92083908,239,0.000000,231,67.80288423
5PR8,253,0.000000,251,2.651288,254,20.44138052,240,7.04185793,247,2.697754391,3.974031521,254,0.000000,252,41.30736041,254,0.000000,252,69.05708470
5PR17D2,269,0.000000,256,2.640690,267,15.60867379,255,7.51127287,262,3.110465293,3.972681404,269,0.000000,255,41.58242388,269,0.000000,255,70.49945757
5PR9,284,0.000000,283,2.650114,282,15.91555770,270,7.04182772,277,6.320274160,3.993672178,284,0.000000,282,35.68450597,284,0.000000,273,58.66165206
5PR19D2,299,0.000000,293,2.649786,285,0.00000000,285,7.45613636,292,0.000000000,4.033504932,299,0.000000,297,36.62226136,299,0.000000,285,60.00061879
5PR10,313,0.000000,313,2.649193,314,16.52775985,300,7.04180665,307,4.393902308,3.943667386,314,0.000000,312,37.12147341,314,0.000000,300,60.54424164
7PR3D2,329,0.000000,317,2.649084,315,16.54604598,315,8.45024503,322,1.103069732,4.027657197,329,0.000000,315,37.76033140,329,0.000000,315,62.87191467
5PR11,344,0.000000,337,2.648577,342,13.61800653,330,7.82430953,337,1.808383359,4.017559328,344,0.000000,330,33.62179787,344,0.000000,330,54.74438328
5PR23D2,359,0.000000,359,2.648085,356,13.80592444,345,7.37717055,352,4.583358059,4.003786201,359,0.000000,357,34.57548312,359,0.000000,345,55.01931369
5PR12,374,0.000000,373,2.647802,370,13.98780712,360,7.04185204,367,1.859026735,3.978965373,374,0.000000,372,33.96462679,374,0.000000,360,55.38049542
5PR25D2,389,0.000000,389,2.647535,381,14.12674577,375,7.04182478,382,4.393821749,3.961652528,389,0.000000,381,34.32436387,389,0.000000,375,56.05328077
5PR13,404,0.000000,401,2.647325,403,11.99574662,390,7.68199827,397,3.184186111,4.026894019,404,0.000000,396,32.00781430,404,0.000000,390,51.32351547
5PR27D2,419,0.000000,419,2.647034,415,12.11338064,405,7.04188176,412,2.415508057,3.966759117,419,0.000000,417,31.90971397,419,0.000000,405,51.23727556
7PR2,434,0.000000,433,2.646825,432,12.27526304,420,8.45017909,427,4.072869284,4.047013581,434,0.000000,420,32.91779519,434,0.000000,420,53.18260841
5PR29D2,449,0.000000,449,2.646601,446,12.40463044,435,7.30266881,442,5.761243891,3.976532205,449,0.000000,441,32.88571057,449,0.000000,435,52.55636081
5PR15,463,0.000000,463,2.646419,462,21.51151802,450,7.04186515,457,6.434584597,4.038690768,464,0.000000,462,31.57428150,464,0.000000,462,48.58269226
5PR31D2,479,0.000000,479,2.646224,473,10.83841600,465,7.28466324,472,1.441125324,3.954042267,479,0.000000,465,30.76617043,479,0.000000,465,48.91318867
5PR16,494,0.000000,491,2.646086,493,10.98466115,480,7.04184685,487,2.918628011,3.998304720,494,0.000000,492,31.11722101,494,0.000000,480,49.10184713
5PR33D2,509,0.000000,509,2.645891,506,11.07707397,495,7.82425160,502,3.679610150,3.995466050,509,0.000000,507,31.66732777,509,0.000000,495,50.30457141
5PR17,524,0.000000,512,2.640687,522,9.78960091,510,7.51128732,517,1.952697894,3.961077629,524,0.000000,510,31.15768619,524,0.000000,520,57.08193817
7PR5D2,539,0.000000,538,2.650573,525,0.00000000,525,8.45024155,532,0.000000000,4.065601698,539,0.000000,525,30.46695605,539,0.000000,535,57.28070943
5PR18,554,0.000000,547,2.645541,552,9.96522223,540,7.04181946,547,1.988829275,3.987643221,554,0.000000,546,30.97257148,554,0.000000,550,58.11236081
5PR37D2,569,0.000000,569,2.645349,567,10.05003903,555,7.24304752,562,4.009890269,4.000428812,569,0.000000,561,30.89600976,569,0.000000,560,58.73531704
5PR19,584,0.000000,577,2.645283,570,20.13355041,570,7.45603313,577,4.486209299,3.964559714,584,0.000000,570,30.48610898,584,0.000000,575,58.65516863
5PR39D2,599,0.000000,599,2.645110,597,9.07924542,585,7.68200524,592,3.623083204,4.030958587,599,0.000000,585,29.47820964,599,0.000000,595,54.82589292
5PR20,614,0.000000,613,2.645007,610,18.28109146,600,7.04184273,607,7.300527489,3.977839542,614,0.000000,612,29.64628568,614,0.000000,605,54.49414357
5PR41D2,629,0.000000,619,2.644964,625,9.20992140,615,7.22238622,622,3.674762727,4.006431025,629,0.000000,627,30.31514976,629,0.000000,625,54.61790187
7PR3,643,0.000000,643,2.644817,639,9.27341457,630,8.45019716,637,2.968143027,3.998617110,644,0.000000,630,30.19655866,644,0.000000,635,54.89835443
5PR43D2,659,0.000000,659,2.644714,651,16.78843487,645,7.21361163,652,6.715880927,3.975594211,659,0.000000,651,28.26895040,659,0.000000,650,51.22141622
5PR22,674,0.000000,673,2.644628,669,8.46504525,660,7.82424541,667,3.380550667,4.057536105,674,0.000000,660,28.35578677,674,0.000000,665,52.18844368
5PR45D2,689,0.000000,683,2.644569,687,8.53427826,675,7.04184645,682,3.404534603,3.939566285,689,0.000000,681,27.88304626,689,0.000000,680,51.79848626
5PR23,704,0.000000,701,2.644467,700,8.58333071,690,7.37713652,697,1.713659203,4.044938165,704,0.000000,702,28.49678914,704,0.000000,700,52.69594067
5PR47D2,719,0.000000,719,2.644370,718,7.86362764,705,7.19832083,712,2.091383242,3.986685155,719,0.000000,711,26.52957426,719,0.000000,715,49.37067492
5PR24,734,0.000000,733,2.644297,733,7.91315117,720,7.04183942,727,2.632458454,3.934543337,734,0.000000,732,26.73618732,734,0.000000,730,48.95881848
7PR7D2,749,0.000000,743,2.644248,748,7.96182221,735,8.45019133,742,4.235090484,4.079031156,749,0.000000,735,27.32171543,749,0.000000,745,49.21365324
5PR25,764,0.000000,761,2.644161,750,15.93649791,750,7.04182980,757,4.792866343,3.969733685,764,0.000000,756,27.29568984,764,0.000000,760,49.67254260
5PR51D2,779,0.000000,773,2.644119,765,16.03198221,765,7.51127231,772,2.586993791,4.004394816,779,0.000000,765,27.29763195,779,0.000000,770,47.66200297
