START,n_0,C_min,Npred_0,Cpred_min,n_1,C_max,Npred_1,Cpred_max,n_geom,C_avg,Cpred_avg,n_v,Calign_min,n_u,Calign_max,n_a,Cbound_min,n_b,Cbound_max
4,4,3.843624,4,2.870137,4,3.84362411,4,2.87013699,4,3.843624111,2.870136988,4,0.000000,4,7.49306872,4,0.000000,4,9.10197203
5,5,2.590290,5,4.266093,5,2.59029039,5,4.26609329,5,2.590290394,4.266093288,5,1.114773,5,7.41741394,5,0.000000,5,9.39655656
6,6,3.210402,6,5.413807,6,3.21040200,6,5.41380731,6,3.210401996,5.413807307,6,0.417230,6,10.41038476,6,0.000000,6,14.53327495
7,7,0.000000,7,3.393036,7,0.00000000,7,3.39303648,7,0.000000000,3.393036479,7,0.000000,7,7.25644045,7,0.000000,7,9.36742496
8,8,2.162039,8,2.814638,8,2.16203856,8,2.81463781,8,2.162038563,2.814637805,8,0.652599,8,4.97667637,8,0.000000,8,8.66095151
9,9,3.862237,9,5.820367,9,3.86223667,9,5.82036707,9,3.862236675,5.820367067,9,2.105498,9,9.53523592,9,0.000000,9,12.55610253
10,10,2.120759,10,3.855372,10,2.12075924,10,3.85537204,10,2.120759244,3.855372038,10,0.634184,10,7.07656009,10,0.000000,10,10.30579715
11,11,1.916634,11,3.298236,11,1.91663391,11,3.29823569,11,1.916633913,3.298235690,11,0.000000,11,6.98897057,11,0.000000,11,9.78077835
12,12,5.292652,12,5.894830,12,5.29265234,12,5.89483036,12,5.292652336,5.894830360,12,1.948514,12,9.84114668,12,0.000000,12,12.70858145
13,13,1.644741,13,3.284626,13,1.64474130,13,3.28462635,13,1.644741302,3.284626347,13,1.639885,13,4.92936765,13,0.000000,13,10.00158367
14,14,3.095388,14,3.587093,14,3.09538826,14,3.58709259,14,3.095388262,3.587092590,14,1.060275,14,6.11391050,14,0.000000,14,10.02709134
5PRD2,23,1.228915,29,3.016474,27,5.43127032,15,8.11436270,21,2.898303284,4.410813115,22,0.000000,15,11.67419314,29,0.000000,15,14.55568047
5PR,34,0.956555,32,2.913777,42,5.92674056,30,7.73932759,36,3.133092175,4.455943808,37,0.000000,30,10.57343759,44,0.000000,30,14.49358501
5PR3D2,53,2.199519,47,2.987631,45,6.62431054,45,7.77751201,52,3.612781038,4.371769323,46,0.000000,45,10.18009637,59,0.000000,45,16.92354717
5PR2,67,1.928666,64,2.954059,60,7.52654005,60,7.85814067,67,3.684255969,4.439696214,67,0.176842,60,9.99266406,74,0.000000,60,15.87588097
5PR5D2,79,1.735643,79,2.980314,75,6.50945205,75,7.83165455,82,3.601846895,4.448164523,86,0.602151,75,9.53959153,89,0.000000,75,15.12950771
5PR3,103,1.930851,97,2.962169,90,6.83708395,90,7.86679273,97,3.572360969,4.410207631,101,0.608515,90,9.56010215,104,0.000000,90,14.65582438
7PRD2,116,2.237289,109,2.968810,105,8.18241996,105,9.40239156,112,3.779821867,4.514430113,107,0.621164,105,11.02158485,119,0.000000,105,15.86146311
5PR4,124,2.151399,128,2.928341,120,6.61156073,120,7.79478835,127,3.840300996,4.419923448,122,0.787632,120,9.42255051,134,0.000000,120,13.94360116
5PR9D2,142,1.964818,139,2.958434,135,6.87477733,135,7.82643523,142,3.904773757,4.415256591,137,0.821571,135,9.43856835,149,0.000000,135,13.69074527
5PR5,163,1.789399,157,2.945854,150,7.55081686,150,7.83961053,157,3.855689171,4.382856012,151,0.900416,150,9.41198844,164,0.000000,150,13.50387949
